instance_seed,category,N,M,D,K,assign_alpha,assign_uniform_mix,epsilon,loads,u,total_energy,makespan,solve_s,method,beam,prune_factor
37472.0,small,25.0,3.0,3.0,60.0,1.2,0.15,60.0,39;60;45,2;1;3,506.0,60.0,0.042937082005664706,exact,80.0,2.0
37472.0,small,25.0,3.0,3.0,60.0,1.2,0.15,60.0,39;60;45,2;1;3,506.0,60.0,0.6147542097605765,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,60.0,28;7;41;56;13;24,1;3;2;1;3;2,461.0,60.0,0.0464238899294287,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,60.0,28;7;41;56;13;24,1;3;2;1;3;2,461.0,60.0,1.6689502883236855,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,59.0,28;7;41;56;13;24,1;3;2;1;3;2,463.0,59.0,0.048705896362662315,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,59.0,28;7;41;56;13;24,1;3;2;1;3;2,463.0,59.0,1.2422446908894926,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,58.0,28;7;41;56;13;24,1;3;2;1;3;2,465.0,58.0,0.04338303464464843,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,58.0,28;7;41;56;13;24,1;3;2;1;3;2,465.0,58.0,0.6550767163280398,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,57.0,28;7;41;56;13;24,1;3;2;1;3;2,467.0,57.0,0.04275892139412463,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,57.0,28;7;41;56;13;24,1;3;2;1;3;2,467.0,57.0,0.02542025805450976,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,56.0,28;7;41;56;13;24,1;3;2;1;3;2,469.0,56.0,0.04144335282035172,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,56.0,28;7;41;56;13;24,1;3;2;1;3;2,469.0,56.0,0.01819905498996377,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,40.0,18;36;37;37,3;3;3;3,756.0,40.0,0.024613281013444066,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,40.0,18;36;37;37,3;3;3;3,756.0,40.0,0.027778906980529428,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,39.0,18;36;37;37,3;3;3;3,774.0,39.0,0.024467905052006245,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,39.0,18;36;37;37,3;3;3;3,774.0,39.0,0.022454166784882545,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,38.0,18;36;37;37,3;3;3;3,792.0,38.0,0.02339382190257311,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,38.0,18;36;37;37,3;3;3;3,792.0,38.0,0.01713199890218675,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,37.0,18;36;37;37,3;3;3;3,810.0,37.0,0.023111644899472594,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,37.0,18;36;37;37,3;3;3;3,810.0,37.0,0.011280187871307135,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,80.0,73;38;48;39;74;65,1;3;2;3;2;2,1214.0,80.0,0.09752348903566599,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,80.0,73;38;48;39;74;65,1;3;2;3;2;2,1214.0,80.0,5.875315559795126,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,79.0,73;38;48;39;74;65,1;3;2;3;2;2,1224.0,79.0,0.09608224523253739,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,79.0,73;38;48;39;74;65,1;3;2;3;2;2,1224.0,79.0,5.405609527835622,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,78.0,73;38;48;39;74;65,1;3;2;3;2;2,1234.0,78.0,0.09402932785451412,exact,80.0,2.0
