instance_seed,category,N,M,D,K,assign_alpha,assign_uniform_mix,epsilon,loads,u,total_energy,makespan,solve_s,method,beam,prune_factor
37472.0,small,25.0,3.0,3.0,60.0,1.2,0.15,60.0,39;60;45,2;1;3,1394.0,60.0,0.04103323700837791,exact,80.0,2.0
37472.0,small,25.0,3.0,3.0,60.0,1.2,0.15,60.0,39;60;45,2;1;3,1394.0,60.0,0.8106353180482984,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,60.0,28;7;41;56;13;24,1;3;2;1;3;2,1306.0,60.0,0.06173564889468253,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,60.0,28;7;41;56;13;24,1;3;2;1;3;2,1306.0,60.0,1.9390296009369195,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,59.0,28;7;41;56;13;24,1;3;2;1;3;2,1307.0,59.0,0.04423569142818451,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,59.0,28;7;41;56;13;24,1;3;2;1;3;2,1307.0,59.0,1.249809142202139,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,58.0,28;7;41;56;13;24,1;3;2;1;3;2,1308.0,58.0,0.04346740012988448,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,58.0,28;7;41;56;13;24,1;3;2;1;3;2,1308.0,58.0,0.459135633893311,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,57.0,28;7;41;56;13;24,1;3;2;1;3;2,1317.0,57.0,0.04228063998743892,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,57.0,28;7;41;56;13;24,1;3;2;1;3;2,1317.0,57.0,0.02522194175980985,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,56.0,28;7;41;56;13;24,1;3;2;1;3;2,1322.0,56.0,0.041297066025435925,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,56.0,28;7;41;56;13;24,1;3;2;1;3;2,1322.0,56.0,0.01833232748322189,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,40.0,18;36;37;37,3;3;3;3,1968.0,40.0,0.027826105011627078,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,40.0,18;36;37;37,3;3;3;3,1968.0,40.0,0.0279237050563097,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,39.0,18;36;37;37,3;3;3;3,1977.0,39.0,0.025375921744853258,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,39.0,18;36;37;37,3;3;3;3,1977.0,39.0,0.022569891065359116,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,38.0,18;36;37;37,3;3;3;3,1986.0,38.0,0.023725291015580297,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,38.0,18;36;37;37,3;3;3;3,1986.0,38.0,0.017031198600307107,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,37.0,18;36;37;37,3;3;3;3,2019.0,37.0,0.023492023115977645,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,37.0,18;36;37;37,3;3;3;3,2019.0,37.0,0.011307724518701434,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,80.0,73;38;48;39;74;65,1;3;2;3;2;2,3362.0,80.0,0.09898453508503735,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,80.0,73;38;48;39;74;65,1;3;2;3;2;2,3362.0,80.0,6.118990269023925,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,79.0,73;38;48;39;74;65,1;3;2;3;2;2,3367.0,79.0,0.09798004804179072,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,79.0,73;38;48;39;74;65,1;3;2;3;2;2,3367.0,79.0,5.809127992717549,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,78.0,73;38;48;39;74;65,1;3;2;3;2;2,3372.0,78.0,0.0954052871093154,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,78.0,73;38;48;39;74;65,1;3;2;3;2;2,3372.0,78.0,4.509249003836885,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,77.0,73;38;48;39;74;65,1;3;2;3;2;2,3383.0,77.0,0.09427830600179732,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,77.0,73;38;48;39;74;65,1;3;2;3;2;2,3383.0,77.0,5.17821392393671,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,76.0,73;38;48;39;74;65,1;3;2;3;2;2,3402.0,76.0,0.09174448670819402,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,76.0,73;38;48;39;74;65,1;3;2;3;2;2,3402.0,76.0,3.917324132984504,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,75.0,73;38;48;39;74;65,1;3;2;3;2;2,3421.0,75.0,0.09193685930222273,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,75.0,73;38;48;39;74;65,1;3;2;3;2;2,3421.0,75.0,2.517254433128983,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,74.0,73;38;48;39;74;65,1;3;2;3;2;2,3458.0,74.0,0.09591075032949448,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,74.0,73;38;48;39;74;65,1;3;2;3;2;2,3458.0,74.0,1.5021745478734374,guided,80.0,2.0
80773.0,small,47.0,6.0,3.0,60.0,1.2,0.15,60.0,45;44;40;43;56;60,3;3;3;3;2;3,4148.0,60.0,0.05667428532615304,exact,80.0,2.0
80773.0,small,47.0,6.0,3.0,60.0,1.2,0.15,60.0,45;44;40;43;56;60,3;3;3;3;2;3,4148.0,60.0,1.117408563848585,guided,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,80.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,1582.0,80.0,0.0765793458558619,exact,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,80.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,1582.0,80.0,5.094149478012696,guided,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,79.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,1583.0,79.0,0.07628030679188669,exact,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,79.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,1583.0,79.0,4.932882380671799,guided,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,78.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,1584.0,78.0,0.10818238579668105,exact,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,78.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,1584.0,78.0,3.8720753986854106,guided,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,77.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,1587.0,77.0,0.07429853570647538,exact,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,77.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,1587.0,77.0,3.850145246135071,guided,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,76.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,1592.0,76.0,0.07607310777530074,exact,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,76.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,1592.0,76.0,3.5078535845968872,guided,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,75.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,1595.0,75.0,0.07564930431544781,exact,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,75.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,1595.0,75.0,2.7360273599624634,guided,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,74.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,1603.0,74.0,0.0710839272942394,exact,80.0,2.0
