seed,T,D,N,K,exact_cost,exact_s,train_s,guided_learned_cost,guided_learned_s,guided_zero_cost,guided_zero_s,guided_price_cost,guided_price_s,gap_learned_pct,gap_zero_pct,gap_price_pct,speedup_learned,speedup_zero,speedup_learned_incl_train,beam
300.0,40.0,2.0,28.0,2.0,56.0,0.003487084060907364,2534.4796907168347,56.0,0.04574919608421624,75.0,0.0006184319499880075,56.0,0.0014486401341855526,0.0,33.92857142857143,0.0,0.07622175599519289,5.638589760724659,1.3758331267833605e-06,2.0
300.0,40.0,2.0,28.0,2.0,56.0,0.003487084060907364,2534.4796907168347,56.0,0.10370434285141528,67.0,0.0010705441236495972,56.0,0.0020175499375909567,0.0,19.642857142857142,0.0,0.033625246205007654,3.25730064167699,1.3758016673289408e-06,5.0
301.0,40.0,2.0,25.0,3.0,56.0,0.004095801152288914,2534.4796907168347,56.0,0.0879900511354208,75.0,0.0006698518991470337,56.0,0.0014436100609600544,0.0,33.92857142857143,0.0,0.046548457461233705,6.114487631526261,1.6159762405902264e-06,2.0
301.0,40.0,2.0,25.0,3.0,56.0,0.004095801152288914,2534.4796907168347,56.0,0.18591580889187753,70.0,0.001217306824401021,56.0,0.0028726388700306416,0.0,25.0,0.0,0.02203040815464432,3.3646415761320188,1.6159138080162929e-06,5.0
302.0,80.0,4.0,51.0,4.0,112.0,0.02063778485171497,2534.4796907168347,112.0,0.24912308319471776,139.0,0.0010918120387941599,112.0,0.0032503351103514433,0.0,24.107142857142858,0.0,0.08284172059473194,18.90232395175652,8.14200901467447e-06,2.0
302.0,80.0,4.0,51.0,4.0,112.0,0.02063778485171497,2534.4796907168347,112.0,0.42938262107782066,137.0,0.0022812059614807367,112.0,0.006285395007580519,0.0,22.321428571428573,0.0,0.048063856892742306,9.046874854876728,8.141430029495925e-06,5.0
303.0,60.0,3.0,26.0,6.0,84.0,0.026524333050474524,2534.4796907168347,84.0,0.22727309097535908,109.0,0.0012036629486829042,84.0,0.003254359122365713,0.0,29.761904761904763,0.0,0.11670687865705268,22.036345871988917,1.046445740245565e-05,2.0
303.0,60.0,3.0,26.0,6.0,84.0,0.026524333050474524,2534.4796907168347,84.0,0.5000144531950355,103.0,0.0025292159989476204,84.0,0.006093505071476102,0.0,22.61904761904762,0.0,0.053047132699839086,10.487175892257133,1.0463331519530033e-05,5.0
304.0,80.0,4.0,43.0,5.0,112.0,0.03426627116277814,2534.4796907168347,112.0,0.20409073401242495,139.0,0.0012897879350930452,112.0,0.0035596410743892193,0.0,24.107142857142858,0.0,0.1678972410412911,26.567368348275153,1.3518953099216268e-05,2.0
304.0,80.0,4.0,43.0,5.0,112.0,0.03426627116277814,2534.4796907168347,112.0,0.6435126499272883,137.0,0.0027413310017436743,112.0,0.007211117073893547,0.0,22.321428571428573,0.0,0.0532487918716904,12.49986635724852,1.351660981102257e-05,5.0
305.0,40.0,2.0,29.0,3.0,56.0,0.0039826128631830215,2534.4796907168347,56.0,0.07786705205217004,75.0,0.0005759659688919783,56.0,0.0015218479093164206,0.0,33.92857142857143,0.0,0.05114631616610728,6.914666973891918,1.5713246878042196e-06,2.0
305.0,40.0,2.0,29.0,3.0,56.0,0.0039826128631830215,2534.4796907168347,56.0,0.11946528987027705,70.0,0.0011898360680788755,56.0,0.002659647027030587,0.0,25.0,0.0,0.0333369874003369,3.347194601028862,1.571298898977652e-06,5.0
306.0,80.0,4.0,22.0,7.0,112.0,0.037588562816381454,2534.4796907168347,112.0,0.28427575319074094,139.0,0.0019075581803917885,112.0,0.00475510093383491,0.0,24.107142857142858,0.0,0.1322257082937376,19.70506755849577,1.4829216176971385e-05,2.0
306.0,80.0,4.0,22.0,7.0,112.0,0.037588562816381454,2534.4796907168347,112.0,0.6913519790396094,137.0,0.0035693407990038395,112.0,0.053878024918958545,0.0,22.321428571428573,0.0,0.054369646657549967,10.530953734334355,1.4826835027434744e-05,5.0
307.0,80.0,4.0,45.0,5.0,112.0,0.03725739615038037,2534.4796907168347,112.0,0.23279964900575578,139.0,0.0012782139237970114,112.0,0.0037381239235401154,0.0,24.107142857142858,0.0,0.1600406027650807,29.148013064749783,1.4698864779335557e-05,2.0
307.0,80.0,4.0,45.0,5.0,112.0,0.03725739615038037,2534.4796907168347,112.0,0.6306804011110216,137.0,0.0027045831084251404,112.0,0.0069403110537678,0.0,22.321428571428573,0.0,0.05907492302717328,13.775652164031703,1.4696557820459082e-05,5.0
308.0,60.0,3.0,39.0,4.0,84.0,0.00930114695802331,2534.4796907168347,84.0,0.11336514982394874,109.0,0.0008272910490632057,84.0,0.0023292009718716145,0.0,29.761904761904763,0.0,0.08204591069184486,11.242895675658028,3.669680596849481e-06,2.0
308.0,60.0,3.0,39.0,4.0,84.0,0.00930114695802331,2534.4796907168347,84.0,0.3544200549367815,103.0,0.0018250669818371534,84.0,0.004709870088845491,0.0,22.61904761904762,0.0,0.02624328626009149,5.096331833618822,3.6693316215440323e-06,5.0
309.0,60.0,3.0,26.0,6.0,84.0,0.023395359981805086,2534.4796907168347,84.0,0.18340439815074205,109.0,0.0011761491186916828,84.0,0.0032184149604290724,0.0,29.761904761904763,0.0,0.1275616082149578,19.8914913168744,9.230165550165061e-06,2.0
309.0,60.0,3.0,26.0,6.0,84.0,0.023395359981805086,2534.4796907168347,84.0,0.4923165300861001,103.0,0.0027250300627201796,84.0,0.005928070051595569,0.0,22.61904761904762,0.0,0.047520971879033855,8.585358489018418,9.229040760577616e-06,5.0
