instance_seed,category,N,M,D,K,assign_alpha,epsilon,loads,u,total_energy,makespan,solve_s,method,beam,prune_factor
8039901.0,small,27.0,5.0,6.0,120.0,1.2,120.0,39;21;66;2;36,1;1;1;3;1,257.0,104.0,0.22731927200220525,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,103.0,39;21;66;2;36,1;1;1;3;1,258.0,103.0,0.1872263338882476,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,102.0,39;21;66;2;36,1;1;1;3;1,259.0,102.0,0.18518850905820727,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,101.0,39;21;66;2;36,1;1;1;3;1,261.0,101.0,0.18313593580387533,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,100.0,39;21;66;2;36,1;1;1;3;1,263.0,86.0,0.1730793360620737,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,85.0,39;21;66;2;36,1;1;1;3;1,263.0,84.0,0.17287896084599197,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,83.0,39;21;66;2;36,1;1;1;3;1,265.0,83.0,0.17259983206167817,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,82.0,39;21;66;2;36,1;1;1;3;1,268.0,82.0,0.16602625511586666,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,81.0,39;21;66;2;36,1;1;1;3;1,273.0,81.0,0.15421134908683598,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,80.0,39;21;66;2;36,1;1;1;3;1,278.0,80.0,0.14345995476469398,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,79.0,39;21;66;2;36,1;1;1;3;1,280.0,79.0,0.13825309392996132,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,78.0,39;21;66;2;36,1;1;1;3;1,282.0,78.0,0.1334083299152553,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,77.0,39;21;66;2;36,1;1;1;3;1,284.0,77.0,0.12752709002234042,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,76.0,39;21;66;2;36,1;1;1;3;1,286.0,74.0,0.11543635069392622,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,73.0,39;21;66;2;36,1;1;1;3;1,286.0,72.0,0.08885059482418001,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,71.0,39;21;66;2;36,1;1;1;3;1,288.0,71.0,0.05471984692849219,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,70.0,39;21;66;2;36,1;1;1;3;1,290.0,70.0,0.05200079921633005,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,69.0,39;21;66;2;36,1;1;1;3;1,292.0,69.0,0.05287095461972058,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,68.0,39;21;66;2;36,1;1;1;3;1,294.0,68.0,0.03262970387004316,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,67.0,39;21;66;2;36,1;1;1;3;1,296.0,67.0,0.016735884128138423,guided,50.0,2.0
8039901.0,small,27.0,5.0,6.0,120.0,1.2,66.0,39;21;66;2;36,1;1;1;3;1,298.0,66.0,0.013302405131980777,guided,50.0,2.0
