instance_seed,category,N,M,D,K,assign_alpha,epsilon,loads,u,total_energy,makespan,solve_s,method,beam,prune_factor
937085.0,medium,34.0,5.0,9.0,180.0,1.2,180.0,98;13;75;19;34,1;3;1;2;2,489.0,164.0,0.7842678686138242,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,163.0,98;13;75;19;34,1;3;1;2;2,490.0,163.0,0.7501308908686042,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,162.0,98;13;75;19;34,1;3;1;2;2,491.0,162.0,0.7335203499533236,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,161.0,98;13;75;19;34,1;3;1;2;2,493.0,161.0,0.7129665641114116,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,160.0,98;13;75;19;34,1;3;1;2;2,495.0,145.0,0.6781930159777403,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,144.0,98;13;75;19;34,1;3;1;2;2,495.0,144.0,0.718453086912632,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,143.0,98;13;75;19;34,1;3;1;2;2,499.0,143.0,0.683842295082286,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,142.0,98;13;75;19;34,1;3;1;2;2,501.0,142.0,0.6585865977685899,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,141.0,98;13;75;19;34,1;3;1;2;2,503.0,141.0,0.6399658578447998,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,140.0,98;13;75;19;34,1;3;1;2;2,505.0,128.0,0.6295990922953933,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,127.0,98;13;75;19;34,1;3;1;2;2,505.0,127.0,0.6820197280030698,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,126.0,98;13;75;19;34,1;3;1;2;2,507.0,126.0,0.6721313039306551,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,125.0,98;13;75;19;34,1;3;1;2;2,509.0,125.0,0.6449284453410655,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,124.0,98;13;75;19;34,1;3;1;2;2,511.0,124.0,0.6207875718828291,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,123.0,98;13;75;19;34,1;3;1;2;2,515.0,123.0,0.5936313110869378,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,122.0,98;13;75;19;34,1;3;1;2;2,517.0,122.0,0.5795663371682167,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,121.0,98;13;75;19;34,1;3;1;2;2,519.0,121.0,0.5635579931549728,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,120.0,98;13;75;19;34,1;3;1;2;2,521.0,112.0,0.5468427841551602,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,111.0,98;13;75;19;34,1;3;1;2;2,523.0,111.0,0.5981830221135169,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,110.0,98;13;75;19;34,1;3;1;2;2,525.0,110.0,0.5777235750574619,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,109.0,98;13;75;19;34,1;3;1;2;2,527.0,109.0,0.5584765870589763,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,108.0,98;13;75;19;34,1;3;1;2;2,529.0,108.0,0.5220987156499177,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,107.0,98;13;75;19;34,1;3;1;2;2,531.0,107.0,0.4994671451859176,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,106.0,98;13;75;19;34,1;3;1;2;2,533.0,106.0,0.45581913413479924,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,105.0,98;13;75;19;34,1;3;1;2;2,535.0,105.0,0.44037045491859317,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,104.0,98;13;75;19;34,1;3;1;2;2,537.0,104.0,0.4356248080730438,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,103.0,98;13;75;19;34,1;3;1;2;2,541.0,103.0,0.41429874184541404,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,102.0,98;13;75;19;34,1;3;1;2;2,545.0,102.0,0.3926682169549167,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,101.0,98;13;75;19;34,1;3;1;2;2,549.0,101.0,0.36042607366107404,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,100.0,98;13;75;19;34,1;3;1;2;2,553.0,100.0,0.34667076473124325,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,99.0,98;13;75;19;34,1;3;1;2;2,555.0,99.0,0.3444708278402686,guided,50.0,2.0
937085.0,medium,34.0,5.0,9.0,180.0,1.2,98.0,98;13;75;19;34,1;3;1;2;2,557.0,98.0,0.336209983099252,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,200.0,14;42;105;31;4,3;2;1;2;3,454.0,184.0,0.5868906951509416,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,183.0,14;42;105;31;4,3;2;1;2;3,455.0,183.0,0.5600553811527789,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,182.0,14;42;105;31;4,3;2;1;2;3,456.0,182.0,0.5593872060999274,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,181.0,14;42;105;31;4,3;2;1;2;3,457.0,181.0,0.5496177729219198,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,180.0,14;42;105;31;4,3;2;1;2;3,458.0,164.0,0.5335351349785924,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,163.0,14;42;105;31;4,3;2;1;2;3,459.0,163.0,0.5445283530279994,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,162.0,14;42;105;31;4,3;2;1;2;3,460.0,162.0,0.5253273157868534,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,161.0,14;42;105;31;4,3;2;1;2;3,461.0,161.0,0.5157992101740092,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,160.0,14;42;105;31;4,3;2;1;2;3,462.0,145.0,0.4860631190240383,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,144.0,14;42;105;31;4,3;2;1;2;3,462.0,144.0,0.5233899340964854,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,143.0,14;42;105;31;4,3;2;1;2;3,463.0,143.0,0.4844999380875379,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,142.0,14;42;105;31;4,3;2;1;2;3,464.0,142.0,0.4765985943377018,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,141.0,14;42;105;31;4,3;2;1;2;3,465.0,141.0,0.4765787518117577,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,140.0,14;42;105;31;4,3;2;1;2;3,466.0,130.0,0.4700208827853203,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,129.0,14;42;105;31;4,3;2;1;2;3,482.0,129.0,0.41336471983231604,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,128.0,14;42;105;31;4,3;2;1;2;3,480.0,128.0,0.4458288319874555,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,127.0,14;42;105;31;4,3;2;1;2;3,478.0,127.0,0.45651002996601164,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,126.0,14;42;105;31;4,3;2;1;2;3,476.0,126.0,0.4477823586203158,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,125.0,14;42;105;31;4,3;2;1;2;3,476.0,125.0,0.45299095823429525,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,124.0,14;42;105;31;4,3;2;1;2;3,476.0,124.0,0.43571302806958556,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,123.0,14;42;105;31;4,3;2;1;2;3,479.0,123.0,0.4415502299088985,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,122.0,14;42;105;31;4,3;2;1;2;3,482.0,122.0,0.4193889070302248,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,121.0,14;42;105;31;4,3;2;1;2;3,485.0,121.0,0.3901827153749764,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,120.0,14;42;105;31;4,3;2;1;2;3,488.0,120.0,0.37957371585071087,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,119.0,14;42;105;31;4,3;2;1;2;3,490.0,119.0,0.36803625826723874,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,118.0,14;42;105;31;4,3;2;1;2;3,492.0,118.0,0.36131459195166826,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,117.0,14;42;105;31;4,3;2;1;2;3,494.0,117.0,0.351695368764922,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,116.0,14;42;105;31;4,3;2;1;2;3,496.0,116.0,0.31826408370397985,guided,50.0,2.0
