instance_seed,category,N,M,D,K,assign_alpha,assign_uniform_mix,epsilon,loads,u,total_energy,makespan,solve_s,method,beam,prune_factor
37472.0,small,25.0,3.0,3.0,60.0,1.2,0.15,60.0,39;60;45,2;1;3,506.0,60.0,0.04153786599636078,exact,80.0,2.0
37472.0,small,25.0,3.0,3.0,60.0,1.2,0.15,60.0,39;60;45,2;1;3,506.0,60.0,0.17636994179338217,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,60.0,28;7;41;56;13;24,1;3;2;1;3;2,461.0,60.0,0.0450734777841717,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,60.0,28;7;41;56;13;24,1;3;2;1;3;2,461.0,60.0,0.2786777908913791,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,59.0,28;7;41;56;13;24,1;3;2;1;3;2,463.0,59.0,0.04389506625011563,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,59.0,28;7;41;56;13;24,1;3;2;1;3;2,463.0,59.0,0.18422325770370662,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,58.0,28;7;41;56;13;24,1;3;2;1;3;2,465.0,58.0,0.04246793407946825,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,58.0,28;7;41;56;13;24,1;3;2;1;3;2,465.0,58.0,0.09858841425739229,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,57.0,28;7;41;56;13;24,1;3;2;1;3;2,467.0,57.0,0.04270043037831783,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,57.0,28;7;41;56;13;24,1;3;2;1;3;2,467.0,57.0,0.025241059949621558,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,56.0,28;7;41;56;13;24,1;3;2;1;3;2,469.0,56.0,0.04109110310673714,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,56.0,28;7;41;56;13;24,1;3;2;1;3;2,469.0,56.0,0.018362342147156596,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,40.0,18;36;37;37,3;3;3;3,756.0,40.0,0.02497271983884275,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,40.0,18;36;37;37,3;3;3;3,756.0,40.0,0.02775745722465217,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,39.0,18;36;37;37,3;3;3;3,774.0,39.0,0.024167974945157766,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,39.0,18;36;37;37,3;3;3;3,774.0,39.0,0.022516440600156784,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,38.0,18;36;37;37,3;3;3;3,792.0,38.0,0.02325476729311049,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,38.0,18;36;37;37,3;3;3;3,792.0,38.0,0.017041973071172833,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,37.0,18;36;37;37,3;3;3;3,810.0,37.0,0.022790437331423163,exact,80.0,2.0
