instance_seed,category,N,M,D,K,assign_alpha,assign_uniform_mix,epsilon,loads,u,total_energy,makespan,solve_s,method,beam,prune_factor
37472.0,small,25.0,3.0,3.0,60.0,1.2,0.15,60.0,39;60;45,2;1;3,506.0,60.0,0.04099983396008611,exact,80.0,2.0
37472.0,small,25.0,3.0,3.0,60.0,1.2,0.15,60.0,39;60;45,2;1;3,506.0,60.0,0.16306275804527104,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,60.0,28;7;41;56;13;24,1;3;2;1;3;2,461.0,60.0,0.04487926326692104,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,60.0,28;7;41;56;13;24,1;3;2;1;3;2,461.0,60.0,0.3257656453642994,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,59.0,28;7;41;56;13;24,1;3;2;1;3;2,463.0,59.0,0.04411684488877654,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,59.0,28;7;41;56;13;24,1;3;2;1;3;2,463.0,59.0,0.23393768281675875,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,58.0,28;7;41;56;13;24,1;3;2;1;3;2,465.0,58.0,0.04295426816679537,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,58.0,28;7;41;56;13;24,1;3;2;1;3;2,465.0,58.0,0.10878520319238305,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,57.0,28;7;41;56;13;24,1;3;2;1;3;2,467.0,57.0,0.042692642426118255,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,57.0,28;7;41;56;13;24,1;3;2;1;3;2,467.0,57.0,0.025091771967709064,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,56.0,28;7;41;56;13;24,1;3;2;1;3;2,469.0,56.0,0.0440737116150558,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,56.0,28;7;41;56;13;24,1;3;2;1;3;2,469.0,56.0,0.0271349074319005,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,40.0,18;36;37;37,3;3;3;3,756.0,40.0,0.024964177748188376,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,40.0,18;36;37;37,3;3;3;3,756.0,40.0,0.027935625752434134,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,39.0,18;36;37;37,3;3;3;3,774.0,39.0,0.024234349140897393,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,39.0,18;36;37;37,3;3;3;3,774.0,39.0,0.022474659839645028,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,38.0,18;36;37;37,3;3;3;3,792.0,38.0,0.023379265796393156,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,38.0,18;36;37;37,3;3;3;3,792.0,38.0,0.016988876275718212,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,37.0,18;36;37;37,3;3;3;3,810.0,37.0,0.022982871858403087,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,37.0,18;36;37;37,3;3;3;3,810.0,37.0,0.011252452619373798,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,80.0,73;38;48;39;74;65,1;3;2;3;2;2,1214.0,80.0,0.09682119730859995,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,80.0,73;38;48;39;74;65,1;3;2;3;2;2,1214.0,80.0,0.9298915169201791,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,79.0,73;38;48;39;74;65,1;3;2;3;2;2,1224.0,79.0,0.09769738069735467,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,79.0,73;38;48;39;74;65,1;3;2;3;2;2,1224.0,79.0,0.9074384099803865,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,78.0,73;38;48;39;74;65,1;3;2;3;2;2,1234.0,78.0,0.09363199793733656,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,78.0,73;38;48;39;74;65,1;3;2;3;2;2,1234.0,78.0,0.9175190413370728,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,77.0,73;38;48;39;74;65,1;3;2;3;2;2,1244.0,77.0,0.09312282525934279,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,77.0,73;38;48;39;74;65,1;3;2;3;2;2,1244.0,77.0,0.8417329371441156,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,76.0,73;38;48;39;74;65,1;3;2;3;2;2,1250.0,74.0,0.0917717448901385,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,76.0,73;38;48;39;74;65,1;3;2;3;2;2,1250.0,74.0,0.7118592783808708,guided,80.0,2.0
80773.0,small,47.0,6.0,3.0,60.0,1.2,0.15,60.0,45;44;40;43;56;60,3;3;3;3;2;3,1528.0,60.0,0.05455670482479036,exact,80.0,2.0
80773.0,small,47.0,6.0,3.0,60.0,1.2,0.15,60.0,45;44;40;43;56;60,3;3;3;3;2;3,1528.0,60.0,0.13844507606700063,guided,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,80.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,545.0,80.0,0.07536274194717407,exact,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,80.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,545.0,80.0,0.6496649831533432,guided,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,79.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,547.0,79.0,0.07569228392094374,exact,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,79.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,547.0,79.0,0.6918897309806198,guided,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,78.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,549.0,78.0,0.07473800890147686,exact,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,78.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,549.0,78.0,0.6967022912576795,guided,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,77.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,551.0,77.0,0.07217886066064239,exact,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,77.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,551.0,77.0,0.6503289809916168,guided,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,76.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,553.0,72.0,0.0712638022378087,exact,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,76.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,553.0,72.0,0.5982062830589712,guided,80.0,2.0
106652.0,small,38.0,3.0,4.0,80.0,1.2,0.15,80.0,59;71;62,3;3;3,1050.0,80.0,0.08835783717222512,exact,80.0,2.0
106652.0,small,38.0,3.0,4.0,80.0,1.2,0.15,80.0,59;71;62,3;3;3,1050.0,80.0,1.8594056824222207,guided,80.0,2.0
106652.0,small,38.0,3.0,4.0,80.0,1.2,0.15,79.0,59;71;62,3;3;3,1056.0,79.0,0.0872477269731462,exact,80.0,2.0
106652.0,small,38.0,3.0,4.0,80.0,1.2,0.15,79.0,59;71;62,3;3;3,1056.0,79.0,1.8085628608241677,guided,80.0,2.0
106652.0,small,38.0,3.0,4.0,80.0,1.2,0.15,78.0,59;71;62,3;3;3,1062.0,78.0,0.08512656181119382,exact,80.0,2.0
106652.0,small,38.0,3.0,4.0,80.0,1.2,0.15,78.0,59;71;62,3;3;3,1062.0,78.0,1.8030177759937942,guided,80.0,2.0
106652.0,small,38.0,3.0,4.0,80.0,1.2,0.15,77.0,59;71;62,3;3;3,1074.0,77.0,0.08384552388451993,exact,80.0,2.0
106652.0,small,38.0,3.0,4.0,80.0,1.2,0.15,77.0,59;71;62,3;3;3,1074.0,77.0,1.7195511036552489,guided,80.0,2.0
106652.0,small,38.0,3.0,4.0,80.0,1.2,0.15,76.0,59;71;62,3;3;3,1086.0,72.0,0.08306222991086543,exact,80.0,2.0
106652.0,small,38.0,3.0,4.0,80.0,1.2,0.15,76.0,59;71;62,3;3;3,1086.0,72.0,1.589505109935999,guided,80.0,2.0
106652.0,small,38.0,3.0,4.0,80.0,1.2,0.15,71.0,59;71;62,3;3;3,1098.0,71.0,0.077883489895612,exact,80.0,2.0
106652.0,small,38.0,3.0,4.0,80.0,1.2,0.15,71.0,59;71;62,3;3;3,1098.0,71.0,0.963438835227862,guided,80.0,2.0
100622.0,small,28.0,5.0,2.0,40.0,1.2,0.15,40.0,29;25;36;30;40,2;3;2;3;1,618.0,40.0,0.02199910837225616,exact,80.0,2.0
100622.0,small,28.0,5.0,2.0,40.0,1.2,0.15,40.0,29;25;36;30;40,2;3;2;3;1,618.0,40.0,0.0051344092935323715,guided,80.0,2.0
111980.0,small,42.0,5.0,2.0,40.0,1.2,0.15,40.0,35;24;38;27;36,3;2;2;2;1,608.0,40.0,0.026167483534663916,exact,80.0,2.0
111980.0,small,42.0,5.0,2.0,40.0,1.2,0.15,40.0,35;24;38;27;36,3;2;2;2;1,608.0,40.0,0.0185686016920954,guided,80.0,2.0
111980.0,small,42.0,5.0,2.0,40.0,1.2,0.15,39.0,35;24;38;27;36,3;2;2;2;1,620.0,39.0,0.025536518543958664,exact,80.0,2.0
111980.0,small,42.0,5.0,2.0,40.0,1.2,0.15,39.0,35;24;38;27;36,3;2;2;2;1,620.0,39.0,0.01634935475885868,guided,80.0,2.0
111980.0,small,42.0,5.0,2.0,40.0,1.2,0.15,38.0,35;24;38;27;36,3;2;2;2;1,632.0,38.0,0.02476478391326964,exact,80.0,2.0
111980.0,small,42.0,5.0,2.0,40.0,1.2,0.15,38.0,35;24;38;27;36,3;2;2;2;1,632.0,38.0,0.013929757988080382,guided,80.0,2.0
123242.0,small,51.0,6.0,2.0,40.0,1.2,0.15,40.0,33;32;27;27;35;38,3;2;3;2;1;1,670.0,40.0,0.030300447950139642,exact,80.0,2.0
123242.0,small,51.0,6.0,2.0,40.0,1.2,0.15,40.0,33;32;27;27;35;38,3;2;3;2;1;1,670.0,40.0,0.023415863048285246,guided,80.0,2.0
123242.0,small,51.0,6.0,2.0,40.0,1.2,0.15,39.0,33;32;27;27;35;38,3;2;3;2;1;1,684.0,39.0,0.02952211000956595,exact,80.0,2.0
123242.0,small,51.0,6.0,2.0,40.0,1.2,0.15,39.0,33;32;27;27;35;38,3;2;3;2;1;1,684.0,39.0,0.01857383595779538,guided,80.0,2.0
123242.0,small,51.0,6.0,2.0,40.0,1.2,0.15,38.0,33;32;27;27;35;38,3;2;3;2;1;1,698.0,38.0,0.028692164225503802,exact,80.0,2.0
123242.0,small,51.0,6.0,2.0,40.0,1.2,0.15,38.0,33;32;27;27;35;38,3;2;3;2;1;1,698.0,38.0,0.016276851994916797,guided,80.0,2.0
