instance_seed,category,N,M,D,K,assign_alpha,assign_uniform_mix,epsilon,loads,u,total_energy,makespan,solve_s,method,beam,prune_factor
37472.0,small,25.0,3.0,3.0,60.0,1.2,0.15,60.0,39;60;45,2;1;3,1394.0,60.0,0.041098901303485036,exact,80.0,2.0
37472.0,small,25.0,3.0,3.0,60.0,1.2,0.15,60.0,39;60;45,2;1;3,1394.0,60.0,0.1850772863253951,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,60.0,28;7;41;56;13;24,1;3;2;1;3;2,1306.0,60.0,0.04507847153581679,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,60.0,28;7;41;56;13;24,1;3;2;1;3;2,1306.0,60.0,0.26742772618308663,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,59.0,28;7;41;56;13;24,1;3;2;1;3;2,1307.0,59.0,0.04444198124110699,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,59.0,28;7;41;56;13;24,1;3;2;1;3;2,1307.0,59.0,0.1590139651671052,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,58.0,28;7;41;56;13;24,1;3;2;1;3;2,1308.0,58.0,0.04291863017715514,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,58.0,28;7;41;56;13;24,1;3;2;1;3;2,1308.0,58.0,0.09813558706082404,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,57.0,28;7;41;56;13;24,1;3;2;1;3;2,1317.0,57.0,0.042456149822101,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,57.0,28;7;41;56;13;24,1;3;2;1;3;2,1317.0,57.0,0.025011443067342043,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,56.0,28;7;41;56;13;24,1;3;2;1;3;2,1322.0,56.0,0.04161854670383036,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,56.0,28;7;41;56;13;24,1;3;2;1;3;2,1322.0,56.0,0.018292189110070467,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,40.0,18;36;37;37,3;3;3;3,1968.0,40.0,0.024874606868252158,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,40.0,18;36;37;37,3;3;3;3,1968.0,40.0,0.0274319292511791,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,39.0,18;36;37;37,3;3;3;3,1977.0,39.0,0.02422158792614937,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,39.0,18;36;37;37,3;3;3;3,1977.0,39.0,0.02234544395469129,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,38.0,18;36;37;37,3;3;3;3,1986.0,38.0,0.02342366287484765,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,38.0,18;36;37;37,3;3;3;3,1986.0,38.0,0.01705592218786478,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,37.0,18;36;37;37,3;3;3;3,2019.0,37.0,0.023120305268093944,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,37.0,18;36;37;37,3;3;3;3,2019.0,37.0,0.011429039761424065,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,80.0,73;38;48;39;74;65,1;3;2;3;2;2,3362.0,80.0,0.0999552239663899,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,80.0,73;38;48;39;74;65,1;3;2;3;2;2,3362.0,80.0,0.9442610347177833,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,79.0,73;38;48;39;74;65,1;3;2;3;2;2,3367.0,79.0,0.09719697711989284,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,79.0,73;38;48;39;74;65,1;3;2;3;2;2,3367.0,79.0,0.8762346201110631,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,78.0,73;38;48;39;74;65,1;3;2;3;2;2,3372.0,78.0,0.0949549910146743,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,78.0,73;38;48;39;74;65,1;3;2;3;2;2,3372.0,78.0,0.839502144837752,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,77.0,73;38;48;39;74;65,1;3;2;3;2;2,3383.0,77.0,0.09495608136057854,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,77.0,73;38;48;39;74;65,1;3;2;3;2;2,3383.0,77.0,0.7572765157092363,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,76.0,73;38;48;39;74;65,1;3;2;3;2;2,3402.0,76.0,0.09215461672283709,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,76.0,73;38;48;39;74;65,1;3;2;3;2;2,3402.0,76.0,0.6645230466965586,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,75.0,73;38;48;39;74;65,1;3;2;3;2;2,3421.0,75.0,0.09166641510091722,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,75.0,73;38;48;39;74;65,1;3;2;3;2;2,3421.0,75.0,0.5765997730195522,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,74.0,73;38;48;39;74;65,1;3;2;3;2;2,3458.0,74.0,0.08982044481672347,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,74.0,73;38;48;39;74;65,1;3;2;3;2;2,3458.0,74.0,0.30441531515680254,guided,80.0,2.0
80773.0,small,47.0,6.0,3.0,60.0,1.2,0.15,60.0,45;44;40;43;56;60,3;3;3;3;2;3,4148.0,60.0,0.05500255851075053,exact,80.0,2.0
80773.0,small,47.0,6.0,3.0,60.0,1.2,0.15,60.0,45;44;40;43;56;60,3;3;3;3;2;3,4148.0,60.0,0.1581931971013546,guided,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,80.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,1582.0,80.0,0.07692953757941723,exact,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,80.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,1582.0,80.0,0.6776453605853021,guided,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,79.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,1583.0,79.0,0.07482872135005891,exact,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,79.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,1583.0,79.0,0.6209628554061055,guided,80.0,2.0
97723.0,small,33.0,7.0,4.0,80.0,1.2,0.15,78.0,7;21;28;16;10;42;72,2;2;2;3;3;2;1,1584.0,78.0,0.07412494719028473,exact,80.0,2.0
