instance_seed,category,N,M,D,K,assign_alpha,assign_uniform_mix,epsilon,loads,u,total_energy,makespan,solve_s,method,beam,prune_factor
37472.0,small,25.0,3.0,3.0,60.0,1.2,0.15,60.0,39;60;45,2;1;3,1394.0,60.0,0.045704154297709465,exact,80.0,2.0
37472.0,small,25.0,3.0,3.0,60.0,1.2,0.15,60.0,39;60;45,2;1;3,1394.0,60.0,0.11227779206819832,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,60.0,28;7;41;56;13;24,1;3;2;1;3;2,1306.0,60.0,0.045062748016789556,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,60.0,28;7;41;56;13;24,1;3;2;1;3;2,1306.0,60.0,0.13886172464117408,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,59.0,28;7;41;56;13;24,1;3;2;1;3;2,1307.0,59.0,0.044215110363438725,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,59.0,28;7;41;56;13;24,1;3;2;1;3;2,1307.0,59.0,0.10043138870969415,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,58.0,28;7;41;56;13;24,1;3;2;1;3;2,1308.0,58.0,0.04294193210080266,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,58.0,28;7;41;56;13;24,1;3;2;1;3;2,1308.0,58.0,0.06386922835372388,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,57.0,28;7;41;56;13;24,1;3;2;1;3;2,1317.0,57.0,0.042570322984829545,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,57.0,28;7;41;56;13;24,1;3;2;1;3;2,1317.0,57.0,0.024760675616562366,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,56.0,28;7;41;56;13;24,1;3;2;1;3;2,1322.0,56.0,0.041461820248514414,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,56.0,28;7;41;56;13;24,1;3;2;1;3;2,1322.0,56.0,0.018352688057348132,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,40.0,18;36;37;37,3;3;3;3,1968.0,40.0,0.02481650561094284,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,40.0,18;36;37;37,3;3;3;3,1968.0,40.0,0.027444213163107634,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,39.0,18;36;37;37,3;3;3;3,1977.0,39.0,0.024344385834410787,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,39.0,18;36;37;37,3;3;3;3,1977.0,39.0,0.022099983878433704,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,38.0,18;36;37;37,3;3;3;3,1986.0,38.0,0.02338076406158507,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,38.0,18;36;37;37,3;3;3;3,1986.0,38.0,0.016841158038005233,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,37.0,18;36;37;37,3;3;3;3,2019.0,37.0,0.02309817005880177,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,37.0,18;36;37;37,3;3;3;3,2019.0,37.0,0.011236765189096332,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,80.0,73;38;48;39;74;65,1;3;2;3;2;2,3362.0,80.0,0.09764387831091881,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,80.0,73;38;48;39;74;65,1;3;2;3;2;2,3362.0,80.0,0.5022045159712434,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,79.0,73;38;48;39;74;65,1;3;2;3;2;2,3367.0,79.0,0.09565592906437814,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,79.0,73;38;48;39;74;65,1;3;2;3;2;2,3367.0,79.0,0.4814750519581139,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,78.0,73;38;48;39;74;65,1;3;2;3;2;2,3372.0,78.0,0.09508384601213038,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,78.0,73;38;48;39;74;65,1;3;2;3;2;2,3372.0,78.0,0.445303606800735,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,77.0,73;38;48;39;74;65,1;3;2;3;2;2,3383.0,77.0,0.09380752826109529,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,77.0,73;38;48;39;74;65,1;3;2;3;2;2,3383.0,77.0,0.4038528751116246,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,76.0,73;38;48;39;74;65,1;3;2;3;2;2,3402.0,76.0,0.09133425517939031,exact,80.0,2.0
