instance_seed,category,N,M,D,K,assign_alpha,assign_uniform_mix,epsilon,loads,u,total_energy,makespan,solve_s,method,beam,prune_factor
37472.0,small,25.0,3.0,3.0,60.0,1.2,0.15,60.0,39;60;45,2;1;3,1394.0,60.0,0.04063255782239139,exact,80.0,2.0
37472.0,small,25.0,3.0,3.0,60.0,1.2,0.15,60.0,39;60;45,2;1;3,1394.0,60.0,0.1140442427713424,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,60.0,28;7;41;56;13;24,1;3;2;1;3;2,1306.0,60.0,0.04450626438483596,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,60.0,28;7;41;56;13;24,1;3;2;1;3;2,1306.0,60.0,0.1496923272497952,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,59.0,28;7;41;56;13;24,1;3;2;1;3;2,1307.0,59.0,0.04377339407801628,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,59.0,28;7;41;56;13;24,1;3;2;1;3;2,1307.0,59.0,0.11431819992139935,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,58.0,28;7;41;56;13;24,1;3;2;1;3;2,1308.0,58.0,0.04256678372621536,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,58.0,28;7;41;56;13;24,1;3;2;1;3;2,1308.0,58.0,0.059069963870570064,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,57.0,28;7;41;56;13;24,1;3;2;1;3;2,1317.0,57.0,0.042637337232008576,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,57.0,28;7;41;56;13;24,1;3;2;1;3;2,1317.0,57.0,0.02532616932876408,guided,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,56.0,28;7;41;56;13;24,1;3;2;1;3;2,1322.0,56.0,0.04189187986776233,exact,80.0,2.0
48833.0,small,27.0,6.0,3.0,60.0,1.2,0.15,56.0,28;7;41;56;13;24,1;3;2;1;3;2,1322.0,56.0,0.019081866834312677,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,40.0,18;36;37;37,3;3;3;3,1968.0,40.0,0.02502347924746573,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,40.0,18;36;37;37,3;3;3;3,1968.0,40.0,0.02768836892209947,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,39.0,18;36;37;37,3;3;3;3,1977.0,39.0,0.024267021799460053,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,39.0,18;36;37;37,3;3;3;3,1977.0,39.0,0.022527760826051235,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,38.0,18;36;37;37,3;3;3;3,1986.0,38.0,0.02330024796538055,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,38.0,18;36;37;37,3;3;3;3,1986.0,38.0,0.01713303686119616,guided,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,37.0,18;36;37;37,3;3;3;3,2019.0,37.0,0.02295187022536993,exact,80.0,2.0
52076.0,small,47.0,4.0,2.0,40.0,1.2,0.15,37.0,18;36;37;37,3;3;3;3,2019.0,37.0,0.011381795862689614,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,80.0,73;38;48;39;74;65,1;3;2;3;2;2,3362.0,80.0,0.09667504671961069,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,80.0,73;38;48;39;74;65,1;3;2;3;2;2,3362.0,80.0,0.43968857917934656,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,79.0,73;38;48;39;74;65,1;3;2;3;2;2,3367.0,79.0,0.09644834115169942,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,79.0,73;38;48;39;74;65,1;3;2;3;2;2,3367.0,79.0,0.42008779221214354,guided,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,78.0,73;38;48;39;74;65,1;3;2;3;2;2,3372.0,78.0,0.09425438730977476,exact,80.0,2.0
78886.0,small,49.0,6.0,4.0,80.0,1.2,0.15,78.0,73;38;48;39;74;65,1;3;2;3;2;2,3372.0,78.0,0.42160298652015626,guided,80.0,2.0
