seed,T,D,N,K,exact_cost,exact_s,train_s,guided_learned_cost,guided_learned_s,guided_zero_cost,guided_zero_s,guided_price_cost,guided_price_s,gap_learned_pct,gap_zero_pct,gap_price_pct,speedup_learned,speedup_zero,speedup_learned_incl_train,beam
300.0,40.0,2.0,28.0,2.0,56.0,0.0412331479601562,249.55075294501148,56.0,0.008363748202100396,75.0,0.00069624581374228,56.0,0.01159693207591772,0.0,33.92857142857143,0.0,4.929984375880814,59.22211257333164,0.00016522396980129029,2.0
300.0,40.0,2.0,28.0,2.0,56.0,0.0412331479601562,249.55075294501148,56.0,0.011675538960844278,67.0,0.0010758780408650637,56.0,0.0015385188162326813,0.0,19.642857142857142,0.0,3.5315841177386265,38.32511343665174,0.00016522177721477142,5.0
301.0,40.0,2.0,25.0,3.0,56.0,0.0037351620849221945,249.55075294501148,56.0,0.006359105929732323,75.0,0.0004833531565964222,56.0,0.0010606879368424416,0.0,33.92857142857143,0.0,0.5873722070673889,7.727604617757538,1.4967163444974268e-05,2.0
301.0,40.0,2.0,25.0,3.0,56.0,0.0037351620849221945,249.55075294501148,56.0,0.012454648036509752,70.0,0.0009485078044235706,56.0,0.0022495840676128864,0.0,25.0,0.0,0.2999010549292827,3.9379350043325534,1.4966797874360402e-05,5.0
302.0,80.0,4.0,51.0,4.0,112.0,0.01972311409190297,249.55075294501148,112.0,0.014150934992358088,139.0,0.0008507268503308296,112.0,0.002565456088632345,0.0,24.107142857142858,0.0,1.3937675568825678,23.183838718894403,7.902999895123982e-05,2.0
302.0,80.0,4.0,51.0,4.0,112.0,0.01972311409190297,249.55075294501148,112.0,0.030539687955752015,137.0,0.0018275550100952387,112.0,0.005650322185829282,0.0,22.321428571428573,0.0,0.6458191098900279,10.792076836513473,7.902480944718748e-05,5.0
303.0,60.0,3.0,26.0,6.0,84.0,0.02495286101475358,249.55075294501148,84.0,0.017712632892653346,109.0,0.0009365328587591648,84.0,0.0025034479331225157,0.0,29.761904761904763,0.0,1.4087606944704,26.643871361667152,9.998403026188584e-05,2.0
303.0,60.0,3.0,26.0,6.0,84.0,0.02495286101475358,249.55075294501148,84.0,0.036178178153932095,103.0,0.0019733409862965345,84.0,0.0053053549490869045,0.0,22.61904761904762,0.0,0.6897213261702492,12.644981879986101,9.997663300102808e-05,5.0
304.0,80.0,4.0,43.0,5.0,112.0,0.03282001591287553,249.55075294501148,112.0,0.017196204978972673,139.0,0.0009970997925847769,112.0,0.0028422109317034483,0.0,24.107142857142858,0.0,1.9085615665204898,32.91547762515963,0.0001315073350751089,2.0
304.0,80.0,4.0,43.0,5.0,112.0,0.03282001591287553,249.55075294501148,112.0,0.037200700026005507,137.0,0.0021855069790035486,112.0,0.006120296893641353,0.0,22.321428571428573,0.0,0.8822418903389556,15.017117871588477,0.00013149679475136836,5.0
305.0,40.0,2.0,29.0,3.0,56.0,0.003715281141921878,249.55075294501148,56.0,0.005549460183829069,75.0,0.00037370715290308,56.0,0.0011020100209861994,0.0,33.92857142857143,0.0,0.6694851424915302,9.94169127633858,1.4887546842593915e-05,2.0
305.0,40.0,2.0,29.0,3.0,56.0,0.003715281141921878,249.55075294501148,56.0,0.00979913491755724,70.0,0.0009192058350890875,56.0,0.0020778949838131666,0.0,25.0,0.0,0.3791437890364342,4.041838073799652,1.4887293328041488e-05,5.0
306.0,80.0,4.0,22.0,7.0,112.0,0.039772095158696175,249.55075294501148,112.0,0.028282479848712683,139.0,0.0014498839154839516,112.0,0.003946464974433184,0.0,24.107142857142858,0.0,1.40624497467843,27.431227240989696,0.00015935671476168602,2.0
306.0,80.0,4.0,22.0,7.0,112.0,0.039772095158696175,249.55075294501148,112.0,0.054454916855320334,137.0,0.002969707129523158,112.0,0.008283486124128103,0.0,22.321428571428573,0.0,0.7303673838005388,13.392598469830366,0.00015934000536041025,5.0
307.0,80.0,4.0,45.0,5.0,112.0,0.035863491939380765,249.55075294501148,112.0,0.03311211592517793,139.0,0.000982118071988225,112.0,0.00275150197558105,0.0,24.107142857142858,0.0,1.0830927271582402,36.5164769514706,0.00014369315071959714,2.0
307.0,80.0,4.0,45.0,5.0,112.0,0.035863491939380765,249.55075294501148,112.0,0.04000533581711352,137.0,0.0021003070287406445,112.0,0.006032147910445929,0.0,22.321428571428573,0.0,0.8964677137902951,17.07535681622925,0.000143689182189305,5.0
