seed,T,D,N,K,exact_cost,exact_s,train_s,guided_learned_cost,guided_learned_s,guided_zero_cost,guided_zero_s,guided_price_cost,guided_price_s,gap_learned_pct,gap_zero_pct,gap_price_pct,speedup_learned,speedup_zero,speedup_learned_incl_train,beam
300.0,40.0,2.0,28.0,2.0,56.0,0.039801690028980374,248.76956238783896,56.0,0.0269609650131315,75.0,0.0007094831671565771,56.0,0.0016759349964559078,0.0,33.92857142857143,0.0,1.4762709721107803,56.099555100785736,0.0001599768738429363,2.0
300.0,40.0,2.0,28.0,2.0,56.0,0.039801690028980374,248.76956238783896,56.0,0.017362134996801615,67.0,0.0008239001035690308,56.0,0.0015771889593452215,0.0,19.642857142857142,0.0,2.2924421470235363,48.30887853583766,0.00015998304615613768,5.0
301.0,40.0,2.0,25.0,3.0,56.0,0.0037862840108573437,248.76956238783896,56.0,0.01039210706949234,75.0,0.0004875550512224436,56.0,0.001073082908987999,0.0,33.92857142857143,0.0,0.36434228261298174,7.7658594683082836,1.5219409532188952e-05,2.0
301.0,40.0,2.0,25.0,3.0,56.0,0.0037862840108573437,248.76956238783896,56.0,0.023536499124020338,70.0,0.0009452300146222115,56.0,0.0022972070146352053,0.0,25.0,0.0,0.16086861478023404,4.005674758826444,1.5218605450859428e-05,5.0
302.0,80.0,4.0,51.0,4.0,112.0,0.01966604799963534,248.76956238783896,112.0,0.02803936181589961,139.0,0.0008551201317459345,112.0,0.002585285808891058,0.0,24.107142857142858,0.0,0.7013728817637991,22.99799439814655,7.904436321465716e-05,2.0
302.0,80.0,4.0,51.0,4.0,112.0,0.01966604799963534,248.76956238783896,112.0,0.0669152399059385,137.0,0.001821113983169198,112.0,0.005633241031318903,0.0,22.321428571428573,0.0,0.293894903870621,10.798911095840058,7.903201406449504e-05,5.0
303.0,60.0,3.0,26.0,6.0,84.0,0.0249856139998883,248.76956238783896,84.0,0.028981541050598025,109.0,0.0009154879953712225,84.0,0.002497863955795765,0.0,29.761904761904763,0.0,0.8621216503382843,27.292126304460005,0.00010042508129400296,2.0
303.0,60.0,3.0,26.0,6.0,84.0,0.0249856139998883,248.76956238783896,84.0,0.06297492701560259,103.0,0.0019786381162703037,84.0,0.005271172849461436,0.0,22.61904761904762,0.0,0.39675494969129377,12.627682543074487,0.00010041136207309306,5.0
304.0,80.0,4.0,43.0,5.0,112.0,0.03289269586093724,248.76956238783896,112.0,0.03517740685492754,139.0,0.0009860738646239042,112.0,0.002852307166904211,0.0,24.107142857142858,0.0,0.9350517505905849,33.35723320634074,0.00013220285066948198,2.0
304.0,80.0,4.0,43.0,5.0,112.0,0.03289269586093724,248.76956238783896,112.0,0.08291956316679716,137.0,0.00219891220331192,112.0,0.00619107810780406,0.0,22.321428571428573,0.0,0.39668197232023295,14.958621727322935,0.00013217748765476719,5.0
305.0,40.0,2.0,29.0,3.0,56.0,0.003651968901976943,248.76956238783896,56.0,0.010942417895421386,75.0,0.0003702158574014902,56.0,0.0010777900461107492,0.0,33.92857142857143,0.0,0.33374423613496146,9.864431328279032,1.4679481838131416e-05,2.0
305.0,40.0,2.0,29.0,3.0,56.0,0.003651968901976943,248.76956238783896,56.0,0.018722327891737223,70.0,0.0009237080812454224,56.0,0.0020337069872766733,0.0,25.0,0.0,0.19505955258847255,3.9535963537885754,1.46790227930135e-05,5.0
306.0,80.0,4.0,22.0,7.0,112.0,0.03573658806271851,248.76956238783896,112.0,0.045197607949376106,139.0,0.0014232548419386148,112.0,0.003775593126192689,0.0,24.107142857142858,0.0,0.7906743229142906,25.10905778057408,0.00014362728345908185,2.0
306.0,80.0,4.0,22.0,7.0,112.0,0.03573658806271851,248.76956238783896,112.0,0.09525947598740458,137.0,0.0029626418836414814,112.0,0.008287911070510745,0.0,22.321428571428573,0.0,0.3751499542937196,12.062405604957386,0.00014359839126750035,5.0
307.0,80.0,4.0,45.0,5.0,112.0,0.0355467579793185,248.76956238783896,112.0,0.03567817993462086,139.0,0.0009464931208640337,112.0,0.002778777852654457,0.0,24.107142857142858,0.0,0.9963164613345417,37.55627716223506,0.0001428698121398118,2.0
307.0,80.0,4.0,45.0,5.0,112.0,0.0355467579793185,248.76956238783896,112.0,0.08766901982016861,137.0,0.002117160940542817,112.0,0.006085143890231848,0.0,22.321428571428573,0.0,0.4054654432344962,16.78982324801661,0.000142839964015707,5.0
308.0,60.0,3.0,39.0,4.0,84.0,0.00874262792058289,248.76956238783896,84.0,0.019887068076059222,109.0,0.0006436379626393318,84.0,0.0018652919679880142,0.0,29.761904761904763,0.0,0.43961371717269804,13.583145227687414,3.514066991065096e-05,2.0
308.0,60.0,3.0,39.0,4.0,84.0,0.00874262792058289,248.76956238783896,84.0,0.04404262499883771,103.0,0.0013271730858832598,84.0,0.0038492768071591854,0.0,22.61904761904762,0.0,0.19850378856422862,6.5874059785988655,3.513725835101262e-05,5.0
309.0,60.0,3.0,26.0,6.0,84.0,0.022372520063072443,248.76956238783896,84.0,0.02909199893474579,109.0,0.0009036150295287371,84.0,0.002476243069395423,0.0,29.761904761904763,0.0,0.7690265668321612,24.75890653870642,8.992219076994244e-05,2.0
309.0,60.0,3.0,26.0,6.0,84.0,0.022372520063072443,248.76956238783896,84.0,0.05900637502782047,103.0,0.002180434064939618,84.0,0.005182358203455806,0.0,22.61904761904762,0.0,0.3791542871854811,10.26058087369498,8.991138024988368e-05,5.0
310.0,40.0,2.0,26.0,4.0,56.0,0.0049327288288623095,248.76956238783896,56.0,0.01180735812522471,75.0,0.0005361249204725027,56.0,0.001193807926028967,0.0,33.92857142857143,0.0,0.417767359687706,9.200707970289741,1.98275651987093e-05,2.0
310.0,40.0,2.0,26.0,4.0,56.0,0.0049327288288623095,248.76956238783896,56.0,0.025897176936268806,72.0,0.000944602070376277,56.0,0.002520783804357052,0.0,28.57142857142857,0.0,0.19047361189219272,5.2220178036423155,1.9826442321299867e-05,5.0
311.0,60.0,3.0,24.0,5.0,84.0,0.01267580478452146,248.76956238783896,84.0,0.02625200105831027,109.0,0.0007868660613894463,84.0,0.002356698038056493,0.0,29.761904761904763,0.0,0.4828509932011007,16.109227995090492,5.094862554523397e-05,2.0
311.0,60.0,3.0,24.0,5.0,84.0,0.01267580478452146,248.76956238783896,84.0,0.05371165298856795,103.0,0.00178778194822371,84.0,0.004719647113233805,0.0,22.61904761904762,0.0,0.23599729442732648,7.090240953107164,5.0943002954143206e-05,5.0
312.0,40.0,2.0,27.0,2.0,56.0,0.0026368899270892143,248.76956238783896,56.0,0.009149836841970682,75.0,0.0003394549712538719,56.0,0.0009727729484438896,0.0,33.92857142857143,0.0,0.2881898303359564,7.7680109304309894,1.059933908134288e-05,2.0
312.0,40.0,2.0,27.0,2.0,56.0,0.0026368899270892143,248.76956238783896,56.0,0.009056702023372054,64.0,0.0007826320361346006,56.0,0.0012139491736888885,0.0,14.285714285714285,0.0,0.2911534375630732,3.3692588666734693,1.0599343049399003e-05,5.0
313.0,40.0,2.0,28.0,3.0,56.0,0.0038464560639113188,248.76956238783896,56.0,0.011016200995072722,75.0,0.00037692300975322723,56.0,0.001087529119104147,0.0,33.92857142857143,0.0,0.3491635696944659,10.204885253435725,1.5461239320728707e-05,2.0
313.0,40.0,2.0,28.0,3.0,56.0,0.0038464560639113188,248.76956238783896,56.0,0.023163527017459273,70.0,0.0008917381055653095,56.0,0.0023185969330370426,0.0,25.0,0.0,0.1660565794238542,4.3134369159573955,1.5460484424402665e-05,5.0
314.0,60.0,3.0,46.0,2.0,84.0,0.0044420871417969465,248.76956238783896,84.0,0.015441593946889043,109.0,0.0008813200984150171,84.0,0.0017076178919523954,0.0,29.761904761904763,0.0,0.28767024680712294,5.040265335813492,1.7855124186352334e-05,2.0
314.0,60.0,3.0,46.0,2.0,84.0,0.0044420871417969465,248.76956238783896,84.0,0.02411374286748469,103.0,0.0011505559086799622,84.0,0.0025551968719810247,0.0,22.61904761904762,0.0,0.18421392175441662,3.860818156062814,1.7854501814038265e-05,5.0
315.0,60.0,3.0,42.0,4.0,84.0,0.007924460805952549,248.76956238783896,84.0,0.01797522883862257,109.0,0.0007702568545937538,84.0,0.0017624360043555498,0.0,29.761904761904763,0.0,0.44085451579484847,10.288075670721607,3.185232219373568e-05,2.0
315.0,60.0,3.0,42.0,4.0,84.0,0.007924460805952549,248.76956238783896,84.0,0.04089930118061602,103.0,0.0015159661415964365,84.0,0.0038454451132565737,0.0,22.61904761904762,0.0,0.19375540845935774,5.22733363794487,3.1849387490213676e-05,5.0
316.0,40.0,2.0,32.0,1.0,56.0,0.0017523339483886957,248.76956238783896,56.0,0.004898283164948225,71.0,0.0003349580802023411,56.0,0.0005984229501336813,0.0,26.785714285714285,0.0,0.3577445176971956,5.23150224449026,7.043865932468446e-06,2.0
316.0,40.0,2.0,32.0,1.0,56.0,0.0017523339483886957,248.76956238783896,56.0,0.0005537390243262053,56.0,0.0005386939737945795,56.0,0.0005502300336956978,0.0,0.0,0.0,3.164548408920523,3.252930297410222,7.04398894718959e-06,5.0
317.0,40.0,2.0,32.0,1.0,56.0,0.001717747189104557,248.76956238783896,56.0,0.004847505129873753,71.0,0.0003265431150794029,56.0,0.0005840270314365625,0.0,26.785714285714285,0.0,0.35435696158805174,5.260399346306432,6.904838764741076e-06,2.0
317.0,40.0,2.0,32.0,1.0,56.0,0.001717747189104557,248.76956238783896,56.0,0.0005460658576339483,56.0,0.0005463841371238232,56.0,0.0005377079360187054,0.0,0.0,0.0,3.1456776963632063,3.143845277329631,6.9049581550682165e-06,5.0
318.0,40.0,2.0,32.0,1.0,56.0,0.0017342111095786095,248.76956238783896,56.0,0.004805837059393525,71.0,0.00031944410875439644,56.0,0.0005640769377350807,0.0,26.785714285714285,0.0,0.36085516178475247,5.428840482739821,6.971020053041954e-06,2.0
318.0,40.0,2.0,32.0,1.0,56.0,0.0017342111095786095,248.76956238783896,56.0,0.0005492561031132936,56.0,0.0005413528997451067,56.0,0.0005384909454733133,0.0,0.0,0.0,3.15738159257358,3.2034761620287875,6.971139330679478e-06,5.0
319.0,80.0,4.0,28.0,6.0,112.0,0.03549372614361346,248.76956238783896,112.0,0.04076990601606667,139.0,0.0012110020034015179,112.0,0.003467892063781619,0.0,24.107142857142858,0.0,0.8705864107125003,29.309386808541237,0.00014265374679735542,2.0
319.0,80.0,4.0,28.0,6.0,112.0,0.03549372614361346,248.76956238783896,112.0,0.09152635117061436,137.0,0.002578234998509288,112.0,0.007401321083307266,0.0,22.321428571428573,0.0,0.38779789306196166,13.766676103666116,0.00014262465186285964,5.0
320.0,40.0,2.0,30.0,2.0,56.0,0.0026801112107932568,248.76956238783896,56.0,0.009796806145459414,75.0,0.00033397390507161617,56.0,0.000990147003903985,0.0,33.92857142857143,0.0,0.2735698931876308,8.02491203682079,1.0773044916091507e-05,2.0
320.0,40.0,2.0,30.0,2.0,56.0,0.0026801112107932568,248.76956238783896,56.0,0.015308953123167157,69.0,0.0007764128968119621,56.0,0.0016142299864441156,0.0,23.214285714285715,0.0,0.17506822244673437,3.4519148532927417,1.0772806225504515e-05,5.0
321.0,60.0,3.0,39.0,4.0,84.0,0.007978230016306043,248.76956238783896,84.0,0.01944249402731657,109.0,0.0006063818000257015,84.0,0.0017242860049009323,0.0,29.761904761904763,0.0,0.4103501333263461,13.157106654533306,3.2068258081157504e-05,2.0
321.0,60.0,3.0,39.0,4.0,84.0,0.007978230016306043,248.76956238783896,84.0,0.03950165491551161,103.0,0.0015417621470987797,84.0,0.00381086696870625,0.0,22.61904761904762,0.0,0.2019720448009162,5.174747629729479,3.206567271574597e-05,5.0
322.0,40.0,2.0,24.0,2.0,56.0,0.0025867160875350237,248.76956238783896,56.0,0.009506197879090905,75.0,0.0003426929470151663,56.0,0.0009577171877026558,0.0,33.92857142857143,0.0,0.2721083781797309,7.548203457541674,1.039764358890892e-05,2.0
322.0,40.0,2.0,24.0,2.0,56.0,0.0025867160875350237,248.76956238783896,56.0,0.013633866095915437,66.0,0.0007183121051639318,56.0,0.0015038498677313328,0.0,17.857142857142858,0.0,0.18972726219674232,3.601103293316612,1.0397471077165288e-05,5.0
323.0,80.0,4.0,31.0,6.0,112.0,0.051091830944642425,248.76956238783896,112.0,0.04536173399537802,139.0,0.0011921101249754429,112.0,0.0034264030400663614,0.0,24.107142857142858,0.0,1.1263200597633296,42.85831474310723,0.0002053407010249308,2.0
323.0,80.0,4.0,31.0,6.0,112.0,0.051091830944642425,248.76956238783896,112.0,0.09609009209088981,137.0,0.0026363120414316654,112.0,0.007391635095700622,0.0,22.321428571428573,0.0,0.5317075864212475,19.380039290378043,0.00020529884472009574,5.0
