instance_idx,slack_ratio,T_limit,T_min,greedy_energy,sgbs_energy,spt_dp_energy,lpt_dp_energy
0,0.0,9,9,60.0,60.0,60.0,60.0
1,0.0,7,7,21.0,21.0,21.0,21.0
2,0.0,3,3,9.0,9.0,9.0,9.0
3,0.0,13,13,38.0,38.0,38.0,38.0
4,0.0,5,5,15.0,15.0,15.0,15.0
5,0.0,3,3,36.0,36.0,36.0,36.0
6,0.0,9,9,90.0,90.0,90.0,90.0
7,0.0,30,30,285.0,285.0,285.0,285.0
8,0.0,3,3,3.0,3.0,3.0,3.0
9,0.0,14,14,22.0,22.0,22.0,22.0
10,0.0,22,22,72.0,72.0,72.0,72.0
11,0.0,1,1,3.0,3.0,3.0,3.0
12,0.0,8,8,23.0,23.0,23.0,23.0
13,0.0,14,14,40.0,40.0,40.0,40.0
14,0.0,9,9,60.0,60.0,60.0,60.0
15,0.0,4,4,21.0,21.0,21.0,21.0
0,0.25,81,9,27.0,27.0,27.0,27.0
1,0.25,92,7,7.0,7.0,7.0,7.0
2,0.25,89,3,3.0,3.0,3.0,3.0
3,0.25,97,13,21.0,15.0,16.0,17.0
4,0.25,78,5,15.0,15.0,15.0,15.0
5,0.25,89,3,9.0,9.0,9.0,9.0
6,0.25,94,9,27.0,27.0,27.0,27.0
7,0.25,110,30,105.0,90.0,93.0,99.0
8,0.25,77,3,3.0,3.0,3.0,3.0
9,0.25,98,14,14.0,14.0,14.0,14.0
10,0.25,91,22,36.0,27.0,25.0,26.0
11,0.25,88,1,1.0,1.0,1.0,1.0
12,0.25,93,8,8.0,8.0,8.0,8.0
13,0.25,98,14,14.0,14.0,15.0,14.0
14,0.25,81,9,44.0,22.0,22.0,26.0
15,0.25,90,4,12.0,12.0,12.0,12.0
0,0.5,154,9,27.0,27.0,27.0,27.0
1,0.5,178,7,7.0,7.0,7.0,7.0
2,0.5,176,3,3.0,3.0,3.0,3.0
3,0.5,181,13,13.0,13.0,13.0,13.0
4,0.5,152,5,15.0,15.0,15.0,15.0
5,0.5,176,3,9.0,9.0,9.0,9.0
6,0.5,179,9,27.0,27.0,27.0,27.0
7,0.5,190,30,90.0,90.0,90.0,90.0
8,0.5,151,3,3.0,3.0,3.0,3.0
9,0.5,182,14,14.0,14.0,14.0,14.0
10,0.5,161,22,25.0,22.0,22.0,23.0
11,0.5,175,1,1.0,1.0,1.0,1.0
12,0.5,179,8,8.0,8.0,8.0,8.0
13,0.5,182,14,14.0,14.0,14.0,14.0
14,0.5,154,9,22.0,18.0,18.0,20.0
15,0.5,177,4,12.0,12.0,12.0,12.0
0,0.75,227,9,27.0,27.0,27.0,27.0
1,0.75,264,7,7.0,7.0,7.0,7.0
2,0.75,263,3,3.0,3.0,3.0,3.0
3,0.75,265,13,13.0,13.0,13.0,13.0
4,0.75,226,5,15.0,15.0,15.0,15.0
5,0.75,263,3,9.0,9.0,9.0,9.0
6,0.75,264,9,27.0,27.0,27.0,27.0
7,0.75,270,30,90.0,90.0,90.0,90.0
8,0.75,225,3,3.0,3.0,3.0,3.0
9,0.75,266,14,14.0,14.0,14.0,14.0
10,0.75,230,22,22.0,22.0,22.0,22.0
11,0.75,262,1,1.0,1.0,1.0,1.0
12,0.75,264,8,8.0,8.0,8.0,8.0
13,0.75,266,14,14.0,14.0,14.0,14.0
14,0.75,227,9,18.0,18.0,18.0,18.0
15,0.75,263,4,12.0,12.0,12.0,12.0
0,1.0,300,9,27.0,27.0,27.0,27.0
1,1.0,350,7,7.0,7.0,7.0,7.0
2,1.0,350,3,3.0,3.0,3.0,3.0
3,1.0,350,13,13.0,13.0,13.0,13.0
4,1.0,300,5,15.0,15.0,15.0,15.0
5,1.0,350,3,9.0,9.0,9.0,9.0
6,1.0,350,9,27.0,27.0,27.0,27.0
7,1.0,350,30,90.0,90.0,90.0,90.0
8,1.0,300,3,3.0,3.0,3.0,3.0
9,1.0,350,14,14.0,14.0,14.0,14.0
10,1.0,300,22,22.0,22.0,22.0,22.0
11,1.0,350,1,1.0,1.0,1.0,1.0
12,1.0,350,8,8.0,8.0,8.0,8.0
13,1.0,350,14,14.0,14.0,14.0,14.0
14,1.0,300,9,18.0,18.0,18.0,18.0
15,1.0,350,4,12.0,12.0,12.0,12.0
