instance_idx,slack_ratio,T_limit,T_min,greedy_energy,sgbs_energy,spt_dp_energy,lpt_dp_energy
0,0.0,6,6,46.0,46.0,46.0,46.0
1,0.0,6,6,51.0,51.0,51.0,51.0
2,0.0,13,13,36.0,36.0,36.0,36.0
3,0.0,2,2,12.0,12.0,12.0,12.0
0,0.25,29,6,24.0,24.0,20.0,20.0
1,0.25,24,6,36.0,36.0,36.0,36.0
2,0.25,29,13,26.0,26.0,26.0,26.0
3,0.25,14,2,6.0,6.0,6.0,6.0
0,0.5,53,6,24.0,24.0,12.0,12.0
1,0.5,43,6,36.0,36.0,18.0,18.0
2,0.5,46,13,26.0,26.0,26.0,26.0
3,0.5,26,2,6.0,6.0,6.0,6.0
0,0.75,76,6,24.0,24.0,12.0,12.0
1,0.75,61,6,36.0,36.0,18.0,18.0
2,0.75,63,13,26.0,26.0,26.0,26.0
3,0.75,38,2,6.0,6.0,6.0,6.0
0,1.0,100,6,16.0,16.0,12.0,12.0
1,1.0,80,6,36.0,36.0,18.0,18.0
2,1.0,80,13,26.0,26.0,26.0,26.0
3,1.0,50,2,12.0,12.0,6.0,6.0
