model_name,method,instance_idx,ratio,energy,time_sec,n_jobs,T_limit
Q-Seq (CWE #1),Greedy+DP,0,0.0,32.0,0.01390036940574646,2,4
Q-Seq (CWE #1),Greedy+DP,1,0.0,23.0,0.01390036940574646,7,16
Q-Seq (CWE #1),Greedy+DP,2,0.0,33.0,0.01390036940574646,3,7
Q-Seq (CWE #1),Greedy+DP,3,0.0,177.0,0.01390036940574646,7,19
Q-Seq (CWE #1),Greedy+DP,4,0.0,207.0,0.01390036940574646,12,33
Q-Seq (CWE #1),Greedy+DP,5,0.0,12.0,0.01390036940574646,3,5
Q-Seq (CWE #1),Greedy+DP,6,0.0,106.0,0.01390036940574646,5,18
Q-Seq (CWE #1),Greedy+DP,7,0.0,18.0,0.01390036940574646,3,4
Q-Seq (CWE #1),Greedy+DP,8,0.0,90.0,0.01390036940574646,4,11
Q-Seq (CWE #1),Greedy+DP,9,0.0,18.0,0.01390036940574646,2,2
Q-Seq (CWE #1),Greedy+DP,10,0.0,27.0,0.01390036940574646,5,12
Q-Seq (CWE #1),Greedy+DP,11,0.0,144.0,0.01390036940574646,25,61
Q-Seq (CWE #1),Greedy+DP,12,0.0,10.0,0.01390036940574646,3,5
Q-Seq (CWE #1),Greedy+DP,13,0.0,48.0,0.01390036940574646,1,4
Q-Seq (CWE #1),Greedy+DP,14,0.0,4.0,0.01390036940574646,1,4
Q-Seq (CWE #1),Greedy+DP,15,0.0,240.0,0.01390036940574646,9,32
Q-Seq (CWE #1),SGBS+DP(β4γ4),0,0.0,32.0,0.4942360669374466,2,4
Q-Seq (CWE #1),SGBS+DP(β4γ4),1,0.0,23.0,0.4942360669374466,7,16
Q-Seq (CWE #1),SGBS+DP(β4γ4),2,0.0,33.0,0.4942360669374466,3,7
Q-Seq (CWE #1),SGBS+DP(β4γ4),3,0.0,177.0,0.4942360669374466,7,19
Q-Seq (CWE #1),SGBS+DP(β4γ4),4,0.0,207.0,0.4942360669374466,12,33
Q-Seq (CWE #1),SGBS+DP(β4γ4),5,0.0,12.0,0.4942360669374466,3,5
Q-Seq (CWE #1),SGBS+DP(β4γ4),6,0.0,106.0,0.4942360669374466,5,18
Q-Seq (CWE #1),SGBS+DP(β4γ4),7,0.0,18.0,0.4942360669374466,3,4
Q-Seq (CWE #1),SGBS+DP(β4γ4),8,0.0,90.0,0.4942360669374466,4,11
Q-Seq (CWE #1),SGBS+DP(β4γ4),9,0.0,18.0,0.4942360669374466,2,2
Q-Seq (CWE #1),SGBS+DP(β4γ4),10,0.0,27.0,0.4942360669374466,5,12
Q-Seq (CWE #1),SGBS+DP(β4γ4),11,0.0,144.0,0.4942360669374466,25,61
Q-Seq (CWE #1),SGBS+DP(β4γ4),12,0.0,10.0,0.4942360669374466,3,5
Q-Seq (CWE #1),SGBS+DP(β4γ4),13,0.0,48.0,0.4942360669374466,1,4
Q-Seq (CWE #1),SGBS+DP(β4γ4),14,0.0,4.0,0.4942360669374466,1,4
Q-Seq (CWE #1),SGBS+DP(β4γ4),15,0.0,240.0,0.4942360669374466,9,32
Q-Seq (CWE #1),Greedy+DP,0,0.25,12.0,0.015031367540359497,2,28
Q-Seq (CWE #1),Greedy+DP,1,0.25,16.0,0.015031367540359497,7,37
Q-Seq (CWE #1),Greedy+DP,2,0.25,30.0,0.015031367540359497,3,25
Q-Seq (CWE #1),Greedy+DP,3,0.25,141.0,0.015031367540359497,7,34
Q-Seq (CWE #1),Greedy+DP,4,0.25,165.0,0.015031367540359497,12,44
Q-Seq (CWE #1),Greedy+DP,5,0.25,5.0,0.015031367540359497,3,16
Q-Seq (CWE #1),Greedy+DP,6,0.25,100.0,0.015031367540359497,5,26
Q-Seq (CWE #1),Greedy+DP,7,0.25,15.0,0.015031367540359497,3,23
Q-Seq (CWE #1),Greedy+DP,8,0.25,60.0,0.015031367540359497,4,33
Q-Seq (CWE #1),Greedy+DP,9,0.25,6.0,0.015031367540359497,2,26
Q-Seq (CWE #1),Greedy+DP,10,0.25,21.0,0.015031367540359497,5,21
Q-Seq (CWE #1),Greedy+DP,11,0.25,139.0,0.015031367540359497,25,70
Q-Seq (CWE #1),Greedy+DP,12,0.25,10.0,0.015031367540359497,3,28
