instance_uid,instance_id,origin,family,role,split,M,N,K,seed,p_min,p_max,p_mean,p_variance,e_min,e_max,e_mean,e_variance,c_min,c_max,c_mean,c_variance,data_p_path,data_e_path,data_c_path
syn_vls_m25_n250_k350_s20261420,100001,synthetic_vls,generated_vls,train_or_val,train,25,250,350,20261420,1,12,6.24,12.2944,1,6,3.52,2.0896,1,8,4.414285714285715,5.328367346938776,synthetic_instances/Data_p100001.txt,synthetic_instances/Data_e100001.txt,synthetic_instances/Data_c100001.txt
syn_vls_m25_n250_k350_s20261421,100002,synthetic_vls,generated_vls,train_or_val,train,25,250,350,20261421,1,12,6.492,12.073936,1,6,3.52,2.8896,1,8,4.485714285714286,4.615510204081633,synthetic_instances/Data_p100002.txt,synthetic_instances/Data_e100002.txt,synthetic_instances/Data_c100002.txt
syn_vls_m25_n250_k350_s20261422,100003,synthetic_vls,generated_vls,train_or_val,val,25,250,350,20261422,1,12,6.504,12.457984,1,6,3.08,2.3136,1,8,4.408571428571428,5.578783673469387,synthetic_instances/Data_p100003.txt,synthetic_instances/Data_e100003.txt,synthetic_instances/Data_c100003.txt
syn_vls_m25_n250_k350_s20261423,100004,synthetic_vls,generated_vls,train_or_val,train,25,250,350,20261423,1,12,6.34,11.8244,1,6,3.4,3.68,1,8,4.208571428571428,4.810783673469388,synthetic_instances/Data_p100004.txt,synthetic_instances/Data_e100004.txt,synthetic_instances/Data_c100004.txt
syn_vls_m25_n250_k350_s20261424,100005,synthetic_vls,generated_vls,train_or_val,train,25,250,350,20261424,1,12,6.712,11.365056,1,6,2.96,2.9984,1,8,4.517142857142857,5.141134693877551,synthetic_instances/Data_p100005.txt,synthetic_instances/Data_e100005.txt,synthetic_instances/Data_c100005.txt
syn_vls_m25_n250_k350_s20261425,100006,synthetic_vls,generated_vls,train_or_val,train,25,250,350,20261425,1,12,6.88,11.3776,1,6,3.6,2.96,1,8,4.477142857142857,5.243763265306122,synthetic_instances/Data_p100006.txt,synthetic_instances/Data_e100006.txt,synthetic_instances/Data_c100006.txt
syn_vls_m25_n250_k500_s20262420,100007,synthetic_vls,generated_vls,train_or_val,train,25,250,500,20262420,1,12,6.216,11.745344,1,6,3.32,3.8176,1,8,4.508,5.213936,synthetic_instances/Data_p100007.txt,synthetic_instances/Data_e100007.txt,synthetic_instances/Data_c100007.txt
syn_vls_m25_n250_k500_s20262421,100008,synthetic_vls,generated_vls,train_or_val,train,25,250,500,20262421,1,12,6.44,12.7824,1,6,3.44,1.9264,1,8,4.394,5.574764,synthetic_instances/Data_p100008.txt,synthetic_instances/Data_e100008.txt,synthetic_instances/Data_c100008.txt
syn_vls_m25_n250_k500_s20262422,100009,synthetic_vls,generated_vls,train_or_val,train,25,250,500,20262422,1,12,6.58,11.6756,1,6,4.16,1.9744,1,8,4.462,5.112556,synthetic_instances/Data_p100009.txt,synthetic_instances/Data_e100009.txt,synthetic_instances/Data_c100009.txt
syn_vls_m25_n250_k500_s20262423,100010,synthetic_vls,generated_vls,train_or_val,val,25,250,500,20262423,1,12,6.68,13.2016,1,6,3.8,2.56,1,8,4.396,5.135184,synthetic_instances/Data_p100010.txt,synthetic_instances/Data_e100010.txt,synthetic_instances/Data_c100010.txt
