batch_id,bucket,split,instance_uid,instance_id,seed,M,N,K,sum_p,p_max,epsilon_lb,epsilon_used,epsilon_stress,status,attempts_total,retries_used,solver_return_code,solver_feasible,solver_runtime_sec_reported,solver_variant_reported,wall_runtime_sec,max_rss_bytes,exact_labeled_moves,exact_positive_improving,exact_negative_non_improving,positive_rate_instance,stderr_tail,exact_file,broad_file
m25_n250_k350,m25_n250_k350,train,syn_vls_m25_n250_k350_s20261420,100001,20261420,25,250,350,1560,12,63,71,0.20285714,ok,1,0,0,1,1.034994,stageO_synthetic_dense_logging,1.048304,11960320,1792,1690,102,0.94308036,                1633  involuntary context switches\n          6944405608  instructions retired\n          2221961646  cycles elapsed\n            11223424  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100001_eps_71.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100001_eps_71.csv
m25_n250_k350,m25_n250_k350,train,syn_vls_m25_n250_k350_s20261421,100002,20261421,25,250,350,1623,12,65,73,0.20857143,ok,1,0,0,1,0.675560,stageO_synthetic_dense_logging,0.686923,6504448,1792,1140,652,0.63616071,                 736  involuntary context switches\n          5789185528  instructions retired\n          1427183864  cycles elapsed\n             5767552  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100002_eps_73.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100002_eps_73.csv
m25_n250_k350,m25_n250_k350,train,syn_vls_m25_n250_k350_s20261423,100004,20261423,25,250,350,1585,12,64,72,0.20571429,ok,1,0,0,1,0.661695,stageO_synthetic_dense_logging,0.671971,7553024,1792,1034,758,0.57700893,                 735  involuntary context switches\n          5843288755  instructions retired\n          1542380989  cycles elapsed\n             6816128  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100004_eps_72.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100004_eps_72.csv
m25_n250_k350,m25_n250_k350,train,syn_vls_m25_n250_k350_s20261424,100005,20261424,25,250,350,1678,12,68,76,0.21714286,ok,1,0,0,1,1.081362,stageO_synthetic_dense_logging,1.09201,9224192,1784,1319,465,0.73934978,                1878  involuntary context switches\n          7256489793  instructions retired\n          2358695957  cycles elapsed\n             8487296  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100005_eps_76.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100005_eps_76.csv
m25_n250_k350,m25_n250_k350,train,syn_vls_m25_n250_k350_s20261425,100006,20261425,25,250,350,1720,12,69,77,0.22,ok,1,0,0,1,0.643813,stageO_synthetic_dense_logging,0.655136,6488064,1792,1038,754,0.57924107,                 591  involuntary context switches\n          6037671729  instructions retired\n          1536897843  cycles elapsed\n             5751168  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100006_eps_77.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100006_eps_77.csv
m25_n250_k350,m25_n250_k350,val,syn_vls_m25_n250_k350_s20261422,100003,20261422,25,250,350,1626,12,66,74,0.21142857,ok,1,0,0,1,0.745584,stageO_synthetic_dense_logging,0.75659,8994816,1792,1305,487,0.72823661,                1117  involuntary context switches\n          6610046788  instructions retired\n          1757667288  cycles elapsed\n             8257920  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100003_eps_74.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100003_eps_74.csv
m25_n250_k500,m25_n250_k500,train,syn_vls_m25_n250_k500_s20262420,100007,20262420,25,250,500,1554,12,63,71,0.142,ok,1,0,0,1,0.595253,stageO_synthetic_dense_logging,0.607993,6488064,1758,1265,493,0.71956769,                 372  involuntary context switches\n          5773905863  instructions retired\n          1433200456  cycles elapsed\n             5734760  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100007_eps_71.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100007_eps_71.csv
m25_n250_k500,m25_n250_k500,train,syn_vls_m25_n250_k500_s20262421,100008,20262421,25,250,500,1610,12,65,73,0.146,ok,1,0,0,1,0.827655,stageO_synthetic_dense_logging,0.838888,8634368,1792,1232,560,0.6875,                1155  involuntary context switches\n          6782925066  instructions retired\n          1981280942  cycles elapsed\n             7848320  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100008_eps_73.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100008_eps_73.csv
m25_n250_k500,m25_n250_k500,train,syn_vls_m25_n250_k500_s20262422,100009,20262422,25,250,500,1645,12,66,74,0.148,ok,1,0,0,1,0.620055,stageO_synthetic_dense_logging,0.632045,5947392,1792,1427,365,0.79631696,                 638  involuntary context switches\n          6020314014  instructions retired\n          1493883827  cycles elapsed\n             5194088  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100009_eps_74.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100009_eps_74.csv
m25_n250_k500,m25_n250_k500,train,syn_vls_m25_n250_k500_s20262424,100011,20262424,25,250,500,1658,12,67,75,0.15,ok,1,0,0,1,0.823309,stageO_synthetic_dense_logging,0.833722,8060928,1792,1382,410,0.77120536,                 904  involuntary context switches\n          6196633554  instructions retired\n          1780087127  cycles elapsed\n             7307624  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100011_eps_75.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100011_eps_75.csv
