batch_id,M,N,K,instances_total,instances_success,instances_failed,exact_labeled_rows,positives,negatives,positive_rate,negative_rate,wall_runtime_sec,max_rss_bytes,retries_used
m25_n250_k350,25,250,350,6,6,0,10744,7526,3218,0.7004839910647803,0.2995160089352197,4.910934,11960320,0
m25_n250_k500,25,250,500,6,6,0,10715,7876,2839,0.7350443303779748,0.2649556696220252,4.680812,10321920,0
m25_n300_k350,25,300,350,6,6,0,10752,8093,2659,0.7526971726190477,0.24730282738095238,7.979281,17580032,0
m25_n300_k500,25,300,500,6,6,0,10752,7722,3030,0.7181919642857143,0.2818080357142857,10.112046,27951104,0
m25_n350_k350,25,350,350,6,6,0,10752,7509,3243,0.6983816964285714,0.30161830357142855,17.172214,65110016,0
m25_n350_k500,25,350,500,6,6,0,10752,8421,2331,0.783203125,0.216796875,21.791095,40304640,0
m25_n400_k350,25,400,350,6,6,0,10752,7625,3127,0.7091703869047619,0.2908296130952381,29.933848,45203456,0
m25_n400_k500,25,400,500,6,6,0,10752,7467,3285,0.6944754464285714,0.30552455357142855,26.992507,57229312,0
m25_n500_k350,25,500,350,6,6,0,7620,5767,1853,0.7568241469816273,0.2431758530183727,117.809913,256868352,0
m25_n500_k500,25,500,500,6,6,0,8482,6011,2471,0.7086771987738741,0.2913228012261259,116.910418,234455040,0
m30_n250_k350,30,250,350,6,6,0,10752,8296,2456,0.7715773809523809,0.22842261904761904,2.909782,6488064,0
m30_n250_k500,30,250,500,6,6,0,10752,8250,2502,0.7672991071428571,0.23270089285714285,3.029013,6422528,0
m30_n300_k350,30,300,350,6,6,0,10752,8719,2033,0.8109188988095238,0.1890811011904762,5.18098,10731520,0
m30_n300_k500,30,300,500,6,6,0,10752,8095,2657,0.7528831845238095,0.24711681547619047,4.260929,13254656,0
m30_n350_k350,30,350,350,6,6,0,10752,8237,2515,0.7660900297619048,0.23390997023809523,9.184558,22478848,0
m30_n350_k500,30,350,500,6,6,0,10752,9615,1137,0.8942522321428571,0.10574776785714286,6.095957,14860288,0
m30_n400_k350,30,400,350,6,6,0,10752,7749,3003,0.720703125,0.279296875,16.553458,45973504,0
m30_n400_k500,30,400,500,6,6,0,10752,7444,3308,0.6923363095238095,0.30766369047619047,11.227612,32751616,0
m30_n500_k350,30,500,350,6,6,0,10752,8376,2376,0.7790178571428571,0.22098214285714285,41.131814,77316096,0
m30_n500_k500,30,500,500,6,6,0,10752,8689,2063,0.8081287202380952,0.19187127976190477,37.043613,87949312,0
m40_n250_k350,40,250,350,6,6,0,10752,8291,2461,0.7711123511904762,0.2288876488095238,2.542602,4341760,0
m40_n250_k500,40,250,500,6,6,0,10752,7397,3355,0.6879650297619048,0.31203497023809523,2.502386,4243456,0
m40_n300_k350,40,300,350,6,6,0,10752,9571,1181,0.8901599702380952,0.10984002976190477,3.669614,6062080,0
m40_n300_k500,40,300,500,6,6,0,10752,9396,1356,0.8738839285714286,0.12611607142857142,3.724976,5947392,0
m40_n350_k350,40,350,350,6,6,0,10752,9938,814,0.9242931547619048,0.07570684523809523,4.388864,6144000,0
m40_n350_k500,40,350,500,6,6,0,10752,9702,1050,0.90234375,0.09765625,4.540846,7749632,0
m40_n400_k350,40,400,350,6,6,0,10752,9731,1021,0.9050409226190477,0.09495907738095238,6.145488,14188544,0
m40_n400_k500,40,400,500,6,6,0,10752,10515,237,0.9779575892857143,0.022042410714285716,6.135191,9256960,0
m40_n500_k350,40,500,350,6,6,0,10752,10463,289,0.9731212797619048,0.02687872023809524,10.3314,27295744,0
m40_n500_k500,40,500,500,6,6,0,10752,9230,1522,0.8584449404761905,0.14155505952380953,8.574433,12992512,0
