split,bucket,M,N,K,instances_manifest,instances_labeled,instances_failed,exact_labeled_rows,positives,negatives,positive_rate,negative_rate,wall_runtime_sec,max_rss_bytes
train,m25_n250_k350,25,250,350,5,5,0,8952,6221,2731,0.694928507596068,0.3050714924039321,4.154344,11960320
train,m25_n250_k500,25,250,500,5,5,0,8926,6579,2347,0.7370602733587273,0.2629397266412727,3.66438,8634368
train,m25_n300_k350,25,300,350,5,5,0,8960,6795,2165,0.7583705357142857,0.24162946428571427,6.297805,17580032
train,m25_n300_k500,25,300,500,5,5,0,8960,6571,2389,0.7333705357142857,0.26662946428571427,8.376142,27951104
train,m25_n350_k350,25,350,350,5,5,0,8960,6175,2785,0.6891741071428571,0.31082589285714285,14.54054,65110016
train,m25_n350_k500,25,350,500,5,5,0,8960,6951,2009,0.77578125,0.22421875,16.673758,36814848
train,m25_n400_k350,25,400,350,5,5,0,8960,6314,2646,0.7046875,0.2953125,24.121625,45203456
train,m25_n400_k500,25,400,500,5,5,0,8960,5898,3062,0.6582589285714285,0.3417410714285714,18.438033,57229312
train,m25_n500_k350,25,500,350,5,5,0,5828,4346,1482,0.7457103637611531,0.25428963623884693,102.55253,256868352
train,m25_n500_k500,25,500,500,5,5,0,6690,4645,2045,0.6943198804185351,0.30568011958146485,113.745106,234455040
train,m30_n250_k350,30,250,350,5,5,0,8960,7190,1770,0.8024553571428571,0.19754464285714285,2.48288,6488064
train,m30_n250_k500,30,250,500,5,5,0,8960,7339,1621,0.8190848214285714,0.18091517857142858,2.588175,6422528
train,m30_n300_k350,30,300,350,5,5,0,8960,7018,1942,0.7832589285714285,0.21674107142857144,4.232659,10731520
train,m30_n300_k500,30,300,500,5,5,0,8960,6631,2329,0.7400669642857143,0.2599330357142857,3.632859,13254656
train,m30_n350_k350,30,350,350,5,5,0,8960,6801,2159,0.7590401785714286,0.24095982142857142,7.119458,16793600
train,m30_n350_k500,30,350,500,5,5,0,8960,7924,1036,0.884375,0.115625,4.857857,14860288
train,m30_n400_k350,30,400,350,5,5,0,8960,6701,2259,0.7478794642857143,0.2521205357142857,13.356181,45973504
train,m30_n400_k500,30,400,500,5,5,0,8960,6137,2823,0.6849330357142858,0.3150669642857143,9.883544,32751616
train,m30_n500_k350,30,500,350,5,5,0,8960,6752,2208,0.7535714285714286,0.24642857142857144,33.633629,77316096
train,m30_n500_k500,30,500,500,5,5,0,8960,7475,1485,0.8342633928571429,0.16573660714285715,32.177001,87949312
train,m40_n250_k350,40,250,350,5,5,0,8960,6499,2461,0.7253348214285714,0.2746651785714286,2.108347,4341760
train,m40_n250_k500,40,250,500,5,5,0,8960,5669,3291,0.6327008928571428,0.36729910714285713,2.083793,4096000
train,m40_n300_k350,40,300,350,5,5,0,8960,7911,1049,0.8829241071428572,0.11707589285714286,3.16886,6062080
train,m40_n300_k500,40,300,500,5,5,0,8960,7766,1194,0.8667410714285714,0.13325892857142857,3.138247,5947392
train,m40_n350_k350,40,350,350,5,5,0,8960,8286,674,0.9247767857142857,0.07522321428571428,3.682075,6144000
train,m40_n350_k500,40,350,500,5,5,0,8960,7936,1024,0.8857142857142857,0.11428571428571428,3.718531,7749632
train,m40_n400_k350,40,400,350,5,5,0,8960,8081,879,0.9018973214285714,0.09810267857142857,4.906052,14188544
train,m40_n400_k500,40,400,500,5,5,0,8960,8723,237,0.9735491071428571,0.026450892857142857,5.147378,9256960
train,m40_n500_k350,40,500,350,5,5,0,8960,8681,279,0.9688616071428572,0.031138392857142858,8.538722,26787840
train,m40_n500_k500,40,500,500,5,5,0,8960,8120,840,0.90625,0.09375,7.469161,12992512
val,m25_n250_k350,25,250,350,1,1,0,1792,1305,487,0.7282366071428571,0.27176339285714285,0.75659,8994816
val,m25_n250_k500,25,250,500,1,1,0,1789,1297,492,0.7249860257126887,0.27501397428731134,1.016432,10321920
val,m25_n300_k350,25,300,350,1,1,0,1792,1298,494,0.7243303571428571,0.27566964285714285,1.681476,17154048
val,m25_n300_k500,25,300,500,1,1,0,1792,1151,641,0.6422991071428571,0.35770089285714285,1.735904,10911744
val,m25_n350_k350,25,350,350,1,1,0,1792,1334,458,0.7444196428571429,0.25558035714285715,2.631674,27869184
val,m25_n350_k500,25,350,500,1,1,0,1792,1470,322,0.8203125,0.1796875,5.117337,40304640
val,m25_n400_k350,25,400,350,1,1,0,1792,1311,481,0.7315848214285714,0.26841517857142855,5.812223,31391744
val,m25_n400_k500,25,400,500,1,1,0,1792,1569,223,0.8755580357142857,0.12444196428571429,8.554474,50987008
val,m25_n500_k350,25,500,350,1,1,0,1792,1421,371,0.79296875,0.20703125,15.257383,78364672
val,m25_n500_k500,25,500,500,1,1,0,1792,1366,426,0.7622767857142857,0.23772321428571427,3.165312,29638656
val,m30_n250_k350,30,250,350,1,1,0,1792,1106,686,0.6171875,0.3828125,0.426902,3817472
val,m30_n250_k500,30,250,500,1,1,0,1792,911,881,0.5083705357142857,0.4916294642857143,0.440838,5636096
val,m30_n300_k350,30,300,350,1,1,0,1792,1701,91,0.94921875,0.05078125,0.948321,8421376
val,m30_n300_k500,30,300,500,1,1,0,1792,1464,328,0.8169642857142857,0.18303571428571427,0.62807,6258688
