bucket,M,N,K,train_instance_count,val_instance_count,train_mean_positive_rate,train_std_positive_rate,val_positive_rate,val_minus_train_mean,val_vs_train_zscore,val_outside_train_2std
m25_n250_k350,25,250,350,5,1,0.69496817,0.13732796325601526,0.72823661,0.033268439999999955,0.24225539512283362,0
m25_n250_k500,25,250,500,5,1,0.7369938939999999,0.04037647035535106,0.72498603,-0.01200786399999998,-0.2973975658178994,0
m25_n300_k350,25,300,350,5,1,0.758370538,0.14994285620925318,0.72433036,-0.03404017800000003,-0.2270210056055966,0
m25_n300_k500,25,300,500,5,1,0.733370534,0.0955023313925009,0.64229911,-0.09107142400000001,-0.9536041965898142,0
m25_n350_k350,25,350,350,5,1,0.689174108,0.05909384797340225,0.74441964,0.05524553200000004,0.9348778916016044,0
m25_n350_k500,25,350,500,5,1,0.775781252,0.0841212873108022,0.8203125,0.04453124799999997,0.5293695498913461,0
m25_n400_k350,25,400,350,5,1,0.7046875,0.0765525750064281,0.73158482,0.026897320000000002,0.3513574820669512,0
m25_n400_k500,25,400,500,5,1,0.658258928,0.06463450881422103,0.87555804,0.21729911200000007,3.3619674069866132,1
m25_n500_k350,25,500,350,5,1,0.733031846,0.07686124744083137,0.79296875,0.05993690399999996,0.7798065474560512,0
m25_n500_k500,25,500,500,5,1,0.734970876,0.18867403684680398,0.76227679,0.027305914000000042,0.1447253393013019,0
m30_n250_k350,30,250,350,5,1,0.802455358,0.10704341004288727,0.6171875,-0.185267858,-1.7307731314405237,0
m30_n250_k500,30,250,500,5,1,0.819084822,0.03782378960491053,0.50837054,-0.31071428199999995,-8.214784537603842,1
m30_n300_k350,30,300,350,5,1,0.78325893,0.14886008256989797,0.94921875,0.16595981999999998,1.1148712074781548,0
m30_n300_k500,30,300,500,5,1,0.740066966,0.14874741092198848,0.81696429,0.07689732400000004,0.5169657980825584,0
m30_n350_k350,30,350,350,5,1,0.759040178,0.10880317142607769,0.80133929,0.04229911200000003,0.3887672707108414,0
m30_n350_k500,30,350,500,5,1,0.884375002,0.08851185159207584,0.94363839,0.05926338800000008,0.6695531381845562,0
m30_n400_k350,30,400,350,5,1,0.747879466,0.12549398257257605,0.58482143,-0.16305803600000002,-1.2993295188930658,0
m30_n400_k500,30,400,500,5,1,0.6849330339999999,0.1398641042169349,0.72935268,0.044419646000000035,0.31759146672189287,0
m30_n500_k350,30,500,350,5,1,0.7535714299999999,0.08465208798558295,0.90625,0.15267857000000007,1.8036007573257102,0
m30_n500_k500,30,500,500,5,1,0.834263392,0.0923079465926169,0.67745536,-0.15680803200000004,-1.6987490003655012,0
m40_n250_k350,40,250,350,5,1,0.725334822,0.18456710512648353,1.0,0.274665178,1.488158888398734,0
m40_n250_k500,40,250,500,5,1,0.63270089,0.08815579754584423,0.96428571,0.33158482,3.761350123655382,1
m40_n300_k350,40,300,350,5,1,0.882924108,0.11232825004183827,0.92633929,0.04341518200000005,0.38650278967071455,0
m40_n300_k500,40,300,500,5,1,0.86674107,0.07191381068620076,0.90959821,0.04285713999999996,0.5959514534281749,0
m40_n350_k350,40,350,350,5,1,0.924776786,0.07487284036994846,0.921875,-0.0029017860000000173,-0.03875618963648533,0
m40_n350_k500,40,350,500,5,1,0.885714286,0.132503298565266,0.98549107,0.09977678400000001,0.7530135859286087,0
m40_n400_k350,40,400,350,5,1,0.9018973220000001,0.09270610969996278,0.92075893,0.01886160799999992,0.20345593252747066,0
m40_n400_k500,40,400,500,5,1,0.973549106,0.032534201496702886,1.0,0.026450894000000003,0.8130180789185995,0
m40_n500_k350,40,500,350,5,1,0.968861608,0.036199961040541705,0.99441964,0.025558032000000064,0.7060237432680289,0
m40_n500_k500,40,500,500,5,1,0.90625,0.14431325788529215,0.61941964,-0.28683035999999995,-1.9875537715875555,0
